Date,AXP
2024-05-07,230.3546600341797
2024-05-08,231.90565490722656
2024-05-09,234.75242614746094
2024-05-10,237.8544921875
2024-05-13,234.27142333984375
2024-05-14,237.09860229492188
2024-05-15,237.26548767089844
2024-05-16,236.8924560546875
2024-05-17,238.3649444580078
2024-05-20,237.8544921875
2024-05-21,238.62017822265625
2024-05-22,235.6850128173828
2024-05-23,231.13999938964844
2024-05-24,233.81005859375
2024-05-28,232.89712524414062
2024-05-29,231.6111602783203
2024-05-30,232.86769104003906
2024-05-31,235.59666442871094
2024-06-03,232.53390502929688
2024-06-04,232.89712524414062
2024-06-05,230.3841094970703
2024-06-06,229.0686798095703
2024-06-07,228.4011688232422
2024-06-10,228.1753692626953
2024-06-11,220.41049194335938
2024-06-12,219.9294891357422
2024-06-13,218.11343383789062
2024-06-14,220.6951904296875
2024-06-17,224.08189392089844
2024-06-18,225.10279846191406
2024-06-20,225.98629760742188
2024-06-21,226.15318298339844
2024-06-24,227.22317504882812
2024-06-25,226.3593292236328
2024-06-26,226.44766235351562
2024-06-27,224.20950317382812
2024-06-28,227.30172729492188
2024-07-01,229.52024841308594
2024-07-02,231.640625
2024-07-03,231.38539123535156
2024-07-05,231.99581909179688
2024-07-08,230.89309692382812
2024-07-09,234.08311462402344
2024-07-10,235.24490356445312
2024-07-11,235.0677032470703
2024-07-12,234.9495391845703
2024-07-15,240.23672485351562
2024-07-16,245.77989196777344
2024-07-17,246.10482788085938
2024-07-18,245.3565216064453
2024-07-19,238.64169311523438
2024-07-22,240.97515869140625
2024-07-23,243.09197998046875
2024-07-24,237.2731475830078
2024-07-25,236.47564697265625
2024-07-26,242.09759521484375
2024-07-29,244.06674194335938
2024-07-30,248.58592224121094
2024-07-31,249.13729858398438
2024-08-01,244.8445281982422
2024-08-02,228.69747924804688
2024-08-05,222.43557739257812
2024-08-06,227.5553741455078
2024-08-07,225.2711639404297
2024-08-08,229.93804931640625
2024-08-09,234.1815643310547
2024-08-12,233.39395141601562
2024-08-13,235.30401611328125
2024-08-14,240.00042724609375
2024-08-15,245.6519012451172
2024-08-16,247.8278045654297
2024-08-19,250.1317138671875
2024-08-20,249.17666625976562
2024-08-21,242.50125122070312
2024-08-22,243.93873596191406
2024-08-23,247.4241485595703
2024-08-26,249.96435546875
2024-08-27,251.09661865234375
2024-08-28,253.1248321533203
2024-08-29,255.83245849609375
2024-08-30,254.6607666015625
2024-09-03,250.38771057128906
2024-09-04,247.8573760986328
2024-09-05,247.95578002929688
