Date,HD
2024-12-19,375.6544494628906
2024-12-20,383.05010986328125
2024-12-23,382.90374755859375
2024-12-24,386.50396728515625
2024-12-26,385.5282897949219
2024-12-27,383.3037414550781
2024-12-30,379.9571838378906
2024-12-31,379.52789306640625
2025-01-02,379.0107727050781
2025-01-03,379.7132568359375
2025-01-06,379.8986511230469
2025-01-07,374.8836669921875
2025-01-08,377.7814636230469
2025-01-10,380.406005859375
2025-01-13,379.7132568359375
2025-01-14,383.2257080078125
2025-01-15,396.2119140625
2025-01-16,399.3731384277344
2025-01-17,399.42193603515625
2025-01-21,408.25177001953125
2025-01-22,400.1244201660156
2025-01-23,404.31005859375
2025-01-24,404.4173583984375
2025-01-27,414.53509521484375
2025-01-28,408.6420593261719
2025-01-29,403.3636474609375
2025-01-30,404.4173583984375
2025-01-31,401.95867919921875
2025-02-03,398.8170166015625
2025-02-04,401.4805603027344
2025-02-05,403.75390625
2025-02-06,404.0856628417969
2025-02-07,397.46075439453125
2025-02-10,403.91973876953125
2025-02-11,406.23211669921875
2025-02-12,397.2364196777344
2025-02-13,402.3976745605469
2025-02-14,399.53900146484375
2025-02-18,393.49957275390625
2025-02-19,385.8112487792969
2025-02-20,385.04046630859375
2025-02-21,375.9276428222656
2025-02-24,373.11773681640625
2025-02-25,383.7232971191406
2025-02-26,380.9816589355469
2025-02-27,380.7767333984375
2025-02-28,386.9527893066406
2025-03-03,380.2108459472656
2025-03-04,372.3957214355469
2025-03-05,376.9521484375
2025-03-06,372.44451904296875
2025-03-07,367.6344299316406
2025-03-10,365.53668212890625
2025-03-11,359.20458984375
2025-03-12,355.8580017089844
2025-03-13,340.9532775878906
2025-03-14,344.93963623046875
2025-03-17,347.70849609375
2025-03-18,343.2312316894531
2025-03-19,347.01141357421875
2025-03-20,349.07330322265625
2025-03-21,344.7825622558594
2025-03-24,357.1737060546875
2025-03-25,354.4441223144531
2025-03-26,355.5634765625
2025-03-27,356.1525573730469
2025-03-28,351.6556091308594
2025-03-31,359.8443908691406
2025-04-01,358.8919677734375
2025-04-02,364.16461181640625
2025-04-03,349.4562683105469
2025-04-04,347.4826965332031
2025-04-07,335.3173828125
2025-04-08,329.1610412597656
2025-04-09,348.9456787109375
2025-04-10,347.207763671875
2025-04-11,347.4433898925781
2025-04-14,350.7228698730469
2025-04-15,347.6888732910156
2025-04-16,339.7160949707031
2025-04-17,348.62164306640625
2025-04-21,340.609619140625
2025-04-22,348.0030517578125
2025-04-23,349.9570007324219
2025-04-24,353.11859130859375
2025-04-25,351.095947265625
2025-04-28,350.44793701171875
2025-04-29,352.4902038574219
2025-04-30,353.95318603515625
2025-05-01,351.8028869628906
2025-05-02,357.91009521484375
2025-05-05,355.17071533203125
2025-05-06,352.86334228515625
2025-05-07,356.1722106933594
2025-05-08,358.24395751953125
2025-05-09,356.1329345703125
2025-05-12,369.7612609863281
2025-05-13,366.825439453125
2025-05-14,366.0498046875
2025-05-15,371.7642517089844
2025-05-16,373.87530517578125
2025-05-19,372.5006408691406
2025-05-20,370.2129211425781
2025-05-21,364.1155090332031
2025-05-22,359.49090576171875
2025-05-23,356.1329345703125
2025-05-27,363.6834716796875
2025-05-28,361.38592529296875
2025-05-29,361.6117858886719
2025-05-30,361.6117858886719
2025-06-02,361.2877197265625
2025-06-03,366.31488037109375
2025-06-04,365.647216796875
2025-06-05,364.83709716796875
2025-06-06,362.9105529785156
2025-06-09,360.8061828613281
2025-06-10,363.4836120605469
2025-06-11,356.1231994628906
2025-06-12,358.7907409667969
2025-06-13,350.39300537109375
2025-06-16,349.30621337890625
2025-06-17,344.583740234375
2025-06-18,342.85479736328125
2025-06-20,345.41363525390625
2025-06-23,352.6653137207031
2025-06-24,356.0837097167969
2025-06-25,357.5063781738281
2025-06-26,359.12664794921875
2025-06-27,364.3035888671875
2025-06-30,362.2288818359375
2025-07-01,368.67041015625
2025-07-02,367.3761901855469
2025-07-03,367.2082214355469
2025-07-07,363.2168273925781
2025-07-08,363.0785217285156
2025-07-09,366.5759582519531
2025-07-10,368.8087463378906
2025-07-11,365.61761474609375
2025-07-14,365.6571044921875
2025-07-15,354.32513427734375
2025-07-16,353.10003662109375
2025-07-17,354.7203063964844
2025-07-18,355.07598876953125
2025-07-21,359.66015625
2025-07-22,366.5462951660156
2025-07-23,371.822021484375
2025-07-24,368.60125732421875
2025-07-25,370.8241882324219
2025-07-28,372.69146728515625
2025-07-29,372.8001403808594
2025-07-30,367.6034240722656
2025-07-31,363.0884094238281
2025-08-01,369.1644287109375
2025-08-04,376.2382507324219
2025-08-05,380.7730407714844
2025-08-06,382.14630126953125
2025-08-07,381.52392578125
2025-08-08,383.1836853027344
2025-08-11,382.8675231933594
2025-08-12,391.2356262207031
2025-08-13,402.2810974121094
2025-08-14,395.503662109375
2025-08-15,394.5749816894531
2025-08-18,389.9512634277344
2025-08-19,402.3008728027344
2025-08-20,396.90655517578125
2025-08-21,392.9151916503906
2025-08-22,407.8236389160156
2025-08-25,403.98040771484375
2025-08-26,402.6368103027344
2025-08-27,403.3283386230469
2025-08-28,402.5478820800781
2025-08-29,401.87603759765625
2025-09-02,401.4216003417969
2025-09-03,402.80474853515625
2025-09-04,409.0444030761719
2025-09-05,416.25775146484375
2025-09-08,417.2413635253906
2025-09-09,412.6709289550781
2025-09-10,410.5744934082031
2025-09-11,420.69903564453125
2025-09-12,419.97369384765625
2025-09-15,419.9935607910156
2025-09-16,418.7416687011719
2025-09-17,414.3202819824219
2025-09-18,414.79718017578125
2025-09-19,413.0186767578125
2025-09-22,409.3523864746094
2025-09-23,408.2694091796875
2025-09-24,407.13671875
2025-09-25,404.8316650390625
2025-09-26,407.4546813964844
2025-09-29,404.185791015625
2025-09-30,402.5861511230469
2025-10-01,394.4686584472656
2025-10-02,392.4715881347656
2025-10-03,392.5212707519531
2025-10-06,386.82806396484375
2025-10-07,384.32427978515625
2025-10-08,381.3236999511719
2025-10-09,375.26287841796875
2025-10-10,373.3353576660156
2025-10-13,376.93206787109375
2025-10-14,385.2284240722656
2025-10-15,385.8046875
2025-10-16,384.90057373046875
2025-10-17,389.3815612792969
2025-10-20,386.39093017578125
2025-10-21,388.38800048828125
2025-10-22,386.47039794921875
2025-10-23,382.55572509765625
2025-10-24,384.1950988769531
2025-10-27,382.7941589355469
2025-10-28,383.2710876464844
2025-10-29,375.61065673828125
2025-10-30,377.1109313964844
2025-10-31,377.1506652832031
2025-11-03,375.91864013671875
2025-11-04,380.61822509765625
2025-11-05,371.4376220703125
2025-11-06,366.6982727050781
2025-11-07,368.72515869140625
2025-11-10,368.0495300292969
2025-11-11,371.8350524902344
2025-11-12,368.74505615234375
2025-11-13,365.7047119140625
2025-11-14,360.0313720703125
2025-11-17,355.7292175292969
2025-11-18,334.3177185058594
2025-11-19,332.3504333496094
2025-11-20,330.2440490722656
2025-11-21,341.11376953125
2025-11-24,334.41705322265625
2025-11-25,348.81396484375
2025-11-26,353.1856689453125
2025-11-28,354.6263732910156
2025-12-01,355.0337219238281
2025-12-02,351.7549133300781
2025-12-03,355.6099853515625
2025-12-04,351.1700134277344
2025-12-05,354.6099853515625
2025-12-08,349.9100036621094
2025-12-09,345.2699890136719
2025-12-10,351.1300048828125
2025-12-11,357.4599914550781
2025-12-12,359.6499938964844
2025-12-15,356.989990234375
2025-12-16,352.67999267578125
2025-12-17,356.75
2025-12-18,354.989990234375
2025-12-19,345.0
2025-12-22,346.3900146484375
2025-12-23,344.9700012207031
2025-12-24,347.3399963378906
2025-12-26,349.7799987792969
2025-12-29,347.45001220703125
2025-12-30,346.3500061035156
2025-12-31,344.1000061035156
