Date,UNH
2024-11-29,593.2584838867188
2024-12-02,591.625244140625
2024-12-03,588.4265747070312
2024-12-04,593.8321533203125
2024-12-05,562.8955078125
2024-12-06,534.3604736328125
2024-12-09,547.1455688476562
2024-12-10,551.6057739257812
2024-12-11,520.7067260742188
2024-12-12,503.36383056640625
2024-12-13,507.9703369140625
2024-12-16,486.51861572265625
2024-12-17,473.8506164550781
2024-12-18,487.7093505859375
2024-12-19,477.4909973144531
2024-12-20,488.1094665527344
2024-12-23,494.17022705078125
2024-12-24,493.9360046386719
2024-12-26,498.8645935058594
2024-12-27,497.7325134277344
2024-12-30,495.5951232910156
2024-12-31,493.70172119140625
2025-01-02,492.38421630859375
2025-01-03,500.670166015625
2025-01-06,501.32403564453125
2025-01-07,501.8901062011719
2025-01-08,511.91326904296875
2025-01-10,508.1752624511719
2025-01-13,528.1338500976562
2025-01-14,530.6713256835938
2025-01-15,530.3590087890625
2025-01-16,498.3180847167969
2025-01-17,497.5080261230469
2025-01-21,512.3720092773438
2025-01-22,507.2286071777344
2025-01-23,517.037109375
2025-01-24,519.7112426757812
2025-01-27,530.4566040039062
2025-01-28,529.4415893554688
2025-01-29,525.1668090820312
2025-01-30,532.4573974609375
2025-01-31,529.4513549804688
2025-02-03,535.0045776367188
2025-02-04,532.3402099609375
2025-02-05,526.835693359375
2025-02-06,517.3005981445312
2025-02-07,514.3629150390625
2025-02-10,520.5505981445312
2025-02-11,521.0873413085938
2025-02-12,514.7240600585938
2025-02-13,518.4132080078125
2025-02-14,510.9276123046875
2025-02-18,488.6950378417969
2025-02-19,498.7572326660156
2025-02-20,490.3444519042969
2025-02-21,455.209716796875
2025-02-24,450.4273986816406
2025-02-25,459.07452392578125
2025-02-26,452.44769287109375
2025-02-27,457.2982177734375
2025-02-28,463.54443359375
2025-03-03,455.8245544433594
2025-03-04,463.20281982421875
2025-03-05,464.5399475097656
2025-03-06,475.9977722167969
2025-03-07,481.61932373046875
2025-03-10,470.6809997558594
2025-03-11,476.3853759765625
2025-03-12,471.55328369140625
2025-03-13,471.9551696777344
2025-03-14,478.9435119628906
2025-03-17,489.1075439453125
2025-03-18,493.7926025390625
2025-03-19,493.20452880859375
2025-03-20,501.14361572265625
2025-03-21,506.5833435058594
2025-03-24,506.2403259277344
2025-03-25,503.23126220703125
2025-03-26,507.90655517578125
2025-03-27,505.47576904296875
2025-03-28,505.7894287109375
2025-03-31,513.3463134765625
2025-04-01,512.7288208007812
2025-04-02,512.8072509765625
2025-04-03,529.704833984375
2025-04-04,514.6204833984375
2025-04-07,514.2774047851562
2025-04-08,542.0936889648438
2025-04-09,567.0087280273438
2025-04-10,582.5928955078125
2025-04-11,587.5621337890625
2025-04-14,575.3987426757812
2025-04-15,571.9977416992188
2025-04-16,573.4188232421875
2025-04-17,445.0896301269531
2025-04-21,416.88128662109375
2025-04-22,418.6945495605469
2025-04-23,419.4590759277344
2025-04-24,415.8227844238281
2025-04-25,410.32421875
2025-04-28,411.6571960449219
2025-04-29,401.1011047363281
2025-04-30,403.2671813964844
2025-05-01,392.720947265625
2025-05-02,391.97607421875
2025-05-05,396.7688903808594
2025-05-06,386.6734924316406
2025-05-07,383.29205322265625
2025-05-08,377.8914794921875
2025-05-09,373.07904052734375
2025-05-12,371.2265625
2025-05-13,305.1947937011719
2025-05-14,301.8917541503906
2025-05-15,268.9003601074219
2025-05-16,286.1115417480469
2025-05-19,309.615234375
2025-05-20,315.1921691894531
2025-05-21,296.9616394042969
2025-05-22,290.7770080566406
2025-05-23,289.6988525390625
2025-05-27,289.1401672363281
2025-05-28,292.1883850097656
2025-05-29,292.2471923828125
2025-05-30,295.91290283203125
2025-06-02,298.6670837402344
2025-06-03,295.2366027832031
2025-06-04,294.4132995605469
2025-06-05,289.9634704589844
2025-06-06,297.1968688964844
2025-06-09,297.1675109863281
2025-06-10,297.75555419921875
2025-06-11,304.3910827636719
2025-06-12,312.17333984375
2025-06-13,307.30206298828125
2025-06-16,303.6893310546875
2025-06-17,304.88372802734375
2025-06-18,303.23529052734375
2025-06-20,298.11224365234375
2025-06-23,296.7994079589844
2025-06-24,301.6756286621094
2025-06-25,298.1221008300781
2025-06-26,298.7143859863281
2025-06-27,305.1205749511719
2025-06-30,307.9436950683594
2025-07-01,321.93084716796875
2025-07-02,303.5906066894531
2025-07-03,304.56781005859375
2025-07-07,299.7903137207031
2025-07-08,303.72882080078125
2025-07-09,299.0006408691406
2025-07-10,295.64453125
2025-07-11,300.17529296875
2025-07-14,296.70068359375
2025-07-15,287.9451599121094
2025-07-16,288.7151184082031
2025-07-17,284.3521728515625
2025-07-18,279.0021057128906
2025-07-21,278.49871826171875
2025-07-22,281.4501037597656
2025-07-23,288.73486328125
2025-07-24,274.984619140625
2025-07-25,277.4326171875
2025-07-28,278.47894287109375
2025-07-29,257.70062255859375
2025-07-30,262.6064758300781
2025-07-31,246.33917236328125
2025-08-01,234.70132446289062
2025-08-04,237.86988830566406
2025-08-05,247.7605743408203
2025-08-06,242.6079559326172
2025-08-07,241.51226806640625
2025-08-08,247.65200805664062
2025-08-11,249.11288452148438
2025-08-12,258.1941833496094
2025-08-13,268.302001953125
2025-08-14,267.98614501953125
2025-08-15,300.08642578125
2025-08-18,304.50860595703125
2025-08-19,300.3134460449219
2025-08-20,295.9702453613281
2025-08-21,299.4349670410156
2025-08-22,303.45245361328125
2025-08-25,300.92547607421875
2025-08-26,296.5526428222656
2025-08-27,299.9581298828125
2025-08-28,298.38861083984375
2025-08-29,305.87078857421875
2025-09-02,304.8146057128906
2025-09-03,303.906494140625
2025-09-04,306.3742370605469
2025-09-05,311.319580078125
2025-09-08,316.1168518066406
2025-09-09,343.42974853515625
2025-09-10,342.304443359375
2025-09-11,349.0462951660156
2025-09-12,347.96051025390625
2025-09-15,345.56658935546875
2025-09-16,337.5107421875
2025-09-17,339.3285217285156
2025-09-18,332.5838928222656
2025-09-19,334.4413757324219
2025-09-22,339.0205993652344
2025-09-23,345.367919921875
2025-09-24,349.4604187011719
2025-09-25,343.25213623046875
2025-09-26,341.7820129394531
2025-09-29,342.87469482421875
2025-09-30,342.9938659667969
2025-10-01,345.9738464355469
2025-10-02,351.357666015625
2025-10-03,357.79437255859375
2025-10-06,356.3739013671875
2025-10-07,361.23126220703125
2025-10-08,367.449462890625
2025-10-09,365.2343444824219
2025-10-10,352.1324462890625
2025-10-13,356.2646484375
2025-10-14,357.52618408203125
2025-10-15,358.738037109375
2025-10-16,354.2879638671875
2025-10-17,354.2184143066406
2025-10-20,362.0458068847656
2025-10-21,362.9298400878906
2025-10-22,359.07574462890625
2025-10-23,358.042724609375
2025-10-24,360.0790100097656
2025-10-27,363.5357971191406
2025-10-28,365.38336181640625
2025-10-29,352.88739013671875
2025-10-30,342.44757080078125
2025-10-31,339.27886962890625
2025-11-03,331.5607604980469
2025-11-04,328.6205139160156
2025-11-05,325.5511474609375
2025-11-06,319.4124450683594
2025-11-07,322.04473876953125
2025-11-10,319.4322814941406
2025-11-11,325.26312255859375
2025-11-12,336.7955627441406
2025-11-13,330.2992248535156
2025-11-14,319.7104187011719
2025-11-17,318.3793640136719
2025-11-18,311.4857177734375
2025-11-19,307.0257263183594
2025-11-20,309.4593505859375
2025-11-21,317.83306884765625
2025-11-24,316.919189453125
2025-11-25,324.1009216308594
2025-11-26,327.50799560546875
2025-11-28,327.5675964355469
2025-12-01,321.0514221191406
2025-12-02,322.3725280761719
2025-12-03,337.44122314453125
2025-12-04,331.26275634765625
2025-12-05,328.6999816894531
2025-12-08,323.6199951171875
2025-12-09,323.6000061035156
2025-12-10,328.3699951171875
2025-12-11,336.7300109863281
2025-12-12,341.8399963378906
2025-12-15,341.1000061035156
2025-12-16,334.20001220703125
2025-12-17,331.6300048828125
2025-12-18,328.1400146484375
2025-12-19,327.4200134277344
2025-12-22,325.1600036621094
2025-12-23,324.79998779296875
2025-12-24,327.5799865722656
2025-12-26,331.8299865722656
2025-12-29,328.94000244140625
2025-12-30,332.1600036621094
2025-12-31,330.1099853515625
