Date,LIN
2024-06-18,431.591796875
2024-06-20,434.15179443359375
2024-06-21,434.2695007324219
2024-06-24,434.65203857421875
2024-06-25,432.7197265625
2024-06-26,430.0224609375
2024-06-27,431.7879333496094
2024-06-28,430.40496826171875
2024-07-01,420.7239990234375
2024-07-02,421.85198974609375
2024-07-03,424.64739990234375
2024-07-05,427.3741149902344
2024-07-08,427.39373779296875
2024-07-09,422.94073486328125
2024-07-10,426.618896484375
2024-07-11,426.56005859375
2024-07-12,432.2587890625
2024-07-15,429.7870178222656
2024-07-16,437.1924133300781
2024-07-17,440.6842346191406
2024-07-18,437.4964904785156
2024-07-19,436.2311706542969
2024-07-22,437.5553283691406
2024-07-23,438.8402404785156
2024-07-24,435.2601318359375
2024-07-25,434.54412841796875
2024-07-26,442.7440185546875
2024-07-29,441.3413391113281
2024-07-30,442.2143249511719
2024-07-31,444.8135986328125
2024-08-01,444.65667724609375
2024-08-02,445.3039855957031
2024-08-05,435.005126953125
2024-08-06,437.1237487792969
2024-08-07,433.3965148925781
2024-08-08,438.9677429199219
2024-08-09,438.45770263671875
2024-08-12,438.2222900390625
2024-08-13,441.0863952636719
2024-08-14,442.5379943847656
2024-08-15,447.40301513671875
2024-08-16,448.0699768066406
2024-08-19,449.7962646484375
2024-08-20,449.2960510253906
2024-08-21,452.90557861328125
2024-08-22,452.8663330078125
2024-08-23,456.8191223144531
2024-08-26,459.4870300292969
2024-08-27,463.292724609375
2024-08-28,463.78314208984375
2024-08-29,463.6752624511719
2024-08-30,469.0895080566406
2024-09-03,464.9699401855469
2024-09-04,464.4486083984375
2024-09-05,457.9461364746094
2024-09-06,449.41717529296875
2024-09-09,455.5458068847656
2024-09-10,456.1754150390625
2024-09-11,457.54278564453125
2024-09-12,459.73651123046875
2024-09-13,461.1825866699219
2024-09-16,467.1833801269531
2024-09-17,463.9862365722656
2024-09-18,459.4315490722656
2024-09-19,461.5367736816406
2024-09-20,464.2321472167969
2024-09-23,469.5934753417969
2024-09-24,471.5511474609375
2024-09-25,469.24920654296875
2024-09-26,473.84320068359375
2024-09-27,471.7085266113281
2024-09-30,469.10162353515625
2024-10-01,467.2915344238281
2024-10-02,468.09820556640625
2024-10-03,462.1072998046875
2024-10-04,460.5628662109375
2024-10-07,455.7032165527344
2024-10-08,461.8023376464844
2024-10-09,461.93023681640625
2024-10-10,461.78271484375
2024-10-11,466.3275146484375
2024-10-14,469.80987548828125
2024-10-15,472.8889465332031
2024-10-16,476.1058044433594
2024-10-17,478.1519470214844
2024-10-18,478.53564453125
2024-10-21,475.4958801269531
2024-10-22,474.10882568359375
2024-10-23,469.662353515625
2024-10-24,466.7406921386719
2024-10-25,466.05206298828125
2024-10-28,468.255615234375
2024-10-29,466.93743896484375
2024-10-30,465.6979675292969
2024-10-31,448.72857666015625
2024-11-01,449.8697204589844
2024-11-04,450.86328125
2024-11-05,447.4891357421875
2024-11-06,455.1031799316406
2024-11-07,457.89691162109375
2024-11-08,452.0044250488281
2024-11-11,449.0138854980469
2024-11-12,448.17767333984375
2024-11-13,448.8171081542969
2024-11-14,446.1118469238281
2024-11-15,441.7933044433594
2024-11-18,441.2719421386719
2024-11-19,436.83526611328125
2024-11-20,442.8163757324219
2024-11-21,447.6661682128906
2024-11-22,447.38092041015625
2024-11-25,448.27606201171875
2024-11-26,449.1712951660156
2024-11-27,449.68280029296875
2024-11-29,453.48980712890625
2024-12-02,452.21099853515625
2024-12-03,452.03338623046875
2024-12-04,453.3457336425781
2024-12-05,442.6201171875
2024-12-06,443.4687194824219
2024-12-09,436.6998291015625
2024-12-10,438.90020751953125
2024-12-11,434.6770935058594
2024-12-12,432.6740417480469
2024-12-13,429.5165710449219
2024-12-16,422.60955810546875
2024-12-17,424.484375
2024-12-18,416.65966796875
2024-12-19,414.01531982421875
2024-12-20,418.6725769042969
2024-12-23,416.7188720703125
2024-12-24,420.1131896972656
2024-12-26,418.6824645996094
2024-12-27,417.36029052734375
2024-12-30,412.1109313964844
2024-12-31,413.1075439453125
2025-01-02,408.6673278808594
2025-01-03,408.0061950683594
2025-01-06,407.424072265625
2025-01-07,409.4369812011719
2025-01-08,414.4297180175781
2025-01-10,408.6475830078125
2025-01-13,415.8308410644531
2025-01-14,421.6130065917969
2025-01-15,422.2938537597656
2025-01-16,426.7439270019531
2025-01-17,430.207275390625
2025-01-21,436.5814514160156
2025-01-22,436.7195739746094
2025-01-23,434.97308349609375
2025-01-24,433.4140930175781
2025-01-27,433.6509094238281
2025-01-28,429.7237854003906
2025-01-29,432.4964599609375
2025-01-30,440.4493713378906
2025-01-31,440.1928405761719
2025-02-03,448.17535400390625
2025-02-04,448.7574768066406
2025-02-05,447.672119140625
2025-02-06,454.55938720703125
2025-02-07,449.0041809082031
2025-02-10,454.7369689941406
2025-02-11,454.6185607910156
2025-02-12,452.4675598144531
2025-02-13,454.9244384765625
2025-02-14,450.9282531738281
2025-02-18,459.64093017578125
2025-02-19,455.9309387207031
2025-02-20,455.76318359375
2025-02-21,451.91497802734375
2025-02-24,452.43792724609375
2025-02-25,461.27886962890625
2025-02-26,455.4178161621094
2025-02-27,454.1646728515625
2025-02-28,460.8447570800781
2025-03-03,456.1084899902344
2025-03-04,455.2204895019531
2025-03-05,462.0287780761719
2025-03-06,459.9665832519531
2025-03-07,462.5419006347656
2025-03-10,455.9210510253906
