Date,BKNG
2024-05-21,3770.427978515625
2024-05-22,3773.14990234375
2024-05-23,3701.713623046875
2024-05-24,3743.803955078125
2024-05-28,3738.644775390625
2024-05-29,3683.573486328125
2024-05-30,3703.62744140625
2024-05-31,3725.06201171875
2024-06-03,3712.5244140625
2024-06-04,3749.732666015625
2024-06-05,3779.009521484375
2024-06-06,3758.314208984375
2024-06-07,3769.961181640625
2024-06-10,3745.86669921875
2024-06-11,3745.8466796875
2024-06-12,3832.564697265625
2024-06-13,3812.524169921875
2024-06-14,3815.450927734375
2024-06-17,3908.35791015625
2024-06-18,3928.239990234375
2024-06-20,3927.15283203125
2024-06-21,3943.98046875
2024-06-24,3936.16943359375
2024-06-25,3968.97412109375
2024-06-26,3937.3359375
2024-06-27,3964.05029296875
2024-06-28,3916.692626953125
2024-07-01,3840.93896484375
2024-07-02,3871.914794921875
2024-07-03,3872.586669921875
2024-07-05,3885.697021484375
2024-07-08,3939.560791015625
2024-07-09,3932.491455078125
2024-07-10,3944.919189453125
2024-07-11,3891.885986328125
2024-07-12,3980.887939453125
2024-07-15,4041.761474609375
2024-07-16,4072.499755859375
2024-07-17,3944.513916015625
2024-07-18,3886.1025390625
2024-07-19,3922.37744140625
2024-07-22,3865.181884765625
2024-07-23,3874.87060546875
2024-07-24,3762.73388671875
2024-07-25,3618.483642578125
2024-07-26,3659.129150390625
2024-07-29,3712.65625
2024-07-30,3678.90283203125
2024-07-31,3672.990234375
2024-08-01,3622.73486328125
2024-08-02,3290.486083984375
2024-08-05,3345.16064453125
2024-08-06,3378.430419921875
2024-08-07,3268.231201171875
2024-08-08,3356.45166015625
2024-08-09,3404.106689453125
2024-08-12,3400.2802734375
2024-08-13,3527.40576171875
2024-08-14,3532.171630859375
2024-08-15,3593.55908203125
2024-08-16,3577.927978515625
2024-08-19,3660.137451171875
2024-08-20,3660.6220703125
2024-08-21,3695.720458984375
2024-08-22,3725.47021484375
2024-08-23,3787.253662109375
2024-08-26,3754.932861328125
2024-08-27,3837.547607421875
2024-08-28,3854.14794921875
2024-08-29,3846.80224609375
2024-08-30,3865.013671875
2024-09-03,3770.64306640625
