Date,GD
2025-08-29,321.8349304199219
2025-09-02,321.6564636230469
2025-09-03,320.08978271484375
2025-09-04,319.7228698730469
2025-09-05,320.1393127441406
2025-09-08,320.0005187988281
2025-09-09,318.6222229003906
2025-09-10,320.3277282714844
2025-09-11,326.8423767089844
2025-09-12,323.401611328125
2025-09-15,324.2246398925781
2025-09-16,323.6495056152344
2025-09-17,322.5389404296875
2025-09-18,321.8349304199219
2025-09-19,321.3490295410156
2025-09-22,319.9410400390625
2025-09-23,320.47650146484375
2025-09-24,320.8929443359375
2025-09-25,321.69610595703125
2025-09-26,327.5563049316406
2025-09-29,329.37091064453125
2025-09-30,338.1264953613281
2025-10-01,337.8785705566406
2025-10-02,338.1760559082031
2025-10-03,340.7243957519531
2025-10-06,343.58013916015625
2025-10-07,340.5360107421875
2025-10-08,343.5206604003906
2025-10-09,339.8815612792969
2025-10-10,331.58544921875
2025-10-13,333.0295715332031
2025-10-14,334.1350402832031
2025-10-15,330.6891174316406
2025-10-16,329.2450256347656
2025-10-17,329.802734375
2025-10-20,335.81817626953125
2025-10-21,339.3039245605469
2025-10-22,336.8638916015625
2025-10-23,340.1106262207031
2025-10-24,349.3428955078125
2025-10-27,352.3306884765625
2025-10-28,345.2695617675781
2025-10-29,342.08258056640625
2025-10-30,343.2577819824219
2025-10-31,343.4967956542969
2025-11-03,340.4791259765625
2025-11-04,342.0726013183594
2025-11-05,341.514892578125
2025-11-06,338.9154968261719
2025-11-07,344.9309387207031
2025-11-10,348.068115234375
2025-11-11,350.9862060546875
2025-11-12,348.0282897949219
2025-11-13,342.66021728515625
2025-11-14,342.84942626953125
2025-11-17,340.3894958496094
2025-11-18,339.9014892578125
2025-11-19,341.6642761230469
2025-11-20,338.05902099609375
2025-11-21,338.9553527832031
2025-11-24,336.75433349609375
2025-11-25,339.682373046875
2025-11-26,338.6565856933594
2025-11-28,340.2401123046875
2025-12-01,331.0277404785156
2025-12-02,334.4338073730469
2025-12-03,336.70452880859375
2025-12-04,340.309814453125
2025-12-05,335.93768310546875
2025-12-08,334.6429748535156
2025-12-09,332.9100341796875
2025-12-10,340.8376770019531
2025-12-11,340.0907287597656
2025-12-12,336.116943359375
2025-12-15,339.3039245605469
2025-12-16,336.116943359375
2025-12-17,335.0413513183594
2025-12-18,335.9675598144531
2025-12-19,337.97930908203125
2025-12-22,343.7856140136719
2025-12-23,342.44110107421875
2025-12-24,343.9848327636719
2025-12-26,340.80780029296875
2025-12-29,339.09478759765625
2025-12-30,338.0888977050781
2025-12-31,335.2903137207031
