Date,IBM
2024-10-11,224.32789611816406
2024-10-14,226.2512969970703
2024-10-15,224.0393829345703
2024-10-16,224.7222137451172
2024-10-17,223.96246337890625
2024-10-18,223.30848693847656
2024-10-21,222.875732421875
2024-10-22,223.3565673828125
2024-10-23,223.83741760253906
2024-10-24,210.0272979736328
2024-10-25,206.4497528076172
2024-10-28,204.7571563720703
2024-10-29,202.3721160888672
2024-10-30,197.05384826660156
2024-10-31,198.80419921875
2024-11-01,200.2755889892578
2024-11-04,198.4195098876953
2024-11-05,199.62164306640625
2024-11-06,205.4207305908203
2024-11-07,205.50729370117188
2024-11-08,205.5361328125
2024-11-11,205.3918914794922
2024-11-12,204.3838348388672
2024-11-13,204.4419708251953
2024-11-14,202.57127380371094
2024-11-15,198.69412231445312
2024-11-18,201.6988983154297
2024-11-19,203.7925567626953
2024-11-20,208.0089569091797
2024-11-21,215.5693817138672
2024-11-22,216.12188720703125
2024-11-25,219.18484497070312
2024-11-26,221.80191040039062
2024-11-27,219.95057678222656
2024-11-29,220.42550659179688
2024-12-02,220.40614318847656
2024-12-03,221.96669006347656
2024-12-04,226.31878662109375
2024-12-05,227.54006958007812
2024-12-06,230.72903442382812
2024-12-09,222.9359588623047
2024-12-10,224.6031494140625
2024-12-11,223.05227661132812
2024-12-12,225.12657165527344
2024-12-13,223.73080444335938
2024-12-16,222.2865447998047
2024-12-17,221.9376220703125
2024-12-18,213.4078826904297
2024-12-19,217.04270935058594
2024-12-20,216.4999237060547
2024-12-23,215.11383056640625
2024-12-24,217.5176544189453
2024-12-26,217.98291015625
2024-12-27,215.93771362304688
2024-12-30,213.48544311523438
2024-12-31,213.0783233642578
2025-01-02,213.18495178222656
2025-01-03,215.81170654296875
2025-01-06,215.8311004638672
2025-01-07,217.0814971923828
2025-01-08,216.325439453125
2025-01-10,213.00076293945312
2025-01-13,210.72296142578125
2025-01-14,211.06222534179688
2025-01-15,213.2721710205078
2025-01-16,215.82139587402344
2025-01-17,217.88597106933594
2025-01-21,217.3722686767578
2025-01-22,216.40296936035156
2025-01-23,219.09759521484375
2025-01-24,217.89569091796875
2025-01-27,217.2462615966797
2025-01-28,218.72926330566406
2025-01-29,221.60806274414062
2025-01-30,250.3376922607422
2025-01-31,247.84664916992188
2025-02-03,252.72216796875
2025-02-04,256.33758544921875
2025-02-05,255.2132110595703
2025-02-06,245.65603637695312
2025-02-07,244.58982849121094
2025-02-10,243.2238006591797
2025-02-11,248.52210998535156
2025-02-12,249.6051788330078
2025-02-13,252.9031982421875
2025-02-14,254.94252014160156
2025-02-18,256.6890869140625
2025-02-19,257.9087829589844
2025-02-20,258.31854248046875
2025-02-21,255.13763427734375
2025-02-24,255.51817321777344
2025-02-25,251.49810791015625
2025-02-26,249.6344451904297
2025-02-27,247.08775329589844
2025-02-28,246.3169403076172
2025-03-03,244.12149047851562
2025-03-04,247.06825256347656
2025-03-05,245.2533721923828
2025-03-06,242.6578826904297
2025-03-07,255.19618225097656
2025-03-10,250.66873168945312
2025-03-11,242.91156005859375
2025-03-12,243.5750732421875
2025-03-13,239.83799743652344
2025-03-14,242.32614135742188
2025-03-17,246.83407592773438
2025-03-18,240.96006774902344
2025-03-19,246.17054748535156
2025-03-20,237.4181365966797
2025-03-21,237.95477294921875
2025-03-24,242.42369079589844
2025-03-25,243.8385009765625
2025-03-26,244.26785278320312
2025-03-27,240.23802185058594
2025-03-28,238.0816192626953
2025-03-31,242.62860107421875
2025-04-01,244.26785278320312
2025-04-02,243.9165802001953
2025-04-03,237.58399963378906
2025-04-04,221.9623260498047
2025-04-07,220.30357360839844
2025-04-08,215.66879272460938
2025-04-09,229.60240173339844
2025-04-10,223.9821319580078
2025-04-11,229.76828002929688
2025-04-14,233.26145935058594
2025-04-15,234.86166381835938
2025-04-16,232.78335571289062
2025-04-17,233.0175323486328
2025-04-21,230.49034118652344
2025-04-22,235.0568084716797
2025-04-23,239.5257568359375
2025-04-24,223.76747131347656
2025-04-25,226.77276611328125
2025-04-28,230.43179321289062
2025-04-29,233.5834503173828
2025-04-30,235.9545135498047
2025-05-01,233.846923828125
2025-05-02,239.59405517578125
2025-05-05,243.13597106933594
2025-05-06,243.0774383544922
2025-05-07,247.224365234375
2025-05-08,247.97567749023438
2025-05-09,244.77357482910156
2025-05-12,249.183837890625
2025-05-13,253.9967803955078
2025-05-14,253.24046325683594
2025-05-15,261.943115234375
2025-05-16,262.02166748046875
2025-05-19,263.6423645019531
2025-05-20,262.20831298828125
2025-05-21,256.2362976074219
2025-05-22,253.78070068359375
2025-05-23,254.0360870361328
2025-05-27,258.55438232421875
2025-05-28,255.6174774169922
2025-05-29,254.09503173828125
2025-05-30,254.4584503173828
2025-06-02,259.21246337890625
2025-06-03,260.4893798828125
2025-06-04,260.8036804199219
2025-06-05,262.1199035644531
2025-06-06,264.0942077636719
2025-06-09,267.24713134765625
2025-06-10,271.3332824707031
2025-06-11,276.5195007324219
2025-06-12,276.0382080078125
2025-06-13,272.2958984375
2025-06-16,276.823974609375
2025-06-17,278.0223083496094
2025-06-18,278.1794738769531
2025-06-20,275.9792785644531
2025-06-23,284.04345703125
2025-06-24,288.5715637207031
2025-06-25,285.8900146484375
