Date,NKE
2025-08-21,75.30537414550781
2025-08-22,77.4801254272461
2025-08-25,78.26104736328125
2025-08-26,77.74702453613281
2025-08-27,77.16378784179688
2025-08-28,77.02539825439453
2025-08-29,76.48171997070312
2025-09-02,73.81871795654297
2025-09-03,74.26586151123047
2025-09-04,74.87199401855469
2025-09-05,73.44113159179688
2025-09-08,73.67961120605469
2025-09-09,73.13309478759766
2025-09-10,73.77897644042969
2025-09-11,73.85846710205078
2025-09-12,72.53690338134766
2025-09-15,72.56671142578125
2025-09-16,72.28849029541016
2025-09-17,71.85128021240234
2025-09-18,71.64260864257812
2025-09-19,70.44029235839844
2025-09-22,70.82781219482422
2025-09-23,70.48003387451172
2025-09-24,70.76819610595703
2025-09-25,68.80075073242188
2025-09-26,68.87030792236328
2025-09-29,69.10879516601562
2025-09-30,69.28765106201172
2025-10-01,73.72928619384766
2025-10-02,74.0969467163086
2025-10-03,71.47369384765625
2025-10-06,70.71851348876953
2025-10-07,68.47285461425781
2025-10-08,68.65170288085938
2025-10-09,67.62824249267578
2025-10-10,64.80625915527344
2025-10-13,66.95255279541016
2025-10-14,67.21090698242188
2025-10-15,68.02570343017578
2025-10-16,66.41597747802734
2025-10-17,66.94261932373047
2025-10-20,67.19103240966797
2025-10-21,67.92633819580078
2025-10-22,68.64177703857422
2025-10-23,69.23796844482422
2025-10-24,68.67158508300781
2025-10-27,68.15487670898438
2025-10-28,67.00223541259766
2025-10-29,64.93543243408203
2025-10-30,64.48828887939453
2025-10-31,64.18025207519531
2025-11-03,62.2525634765625
2025-11-04,60.84156799316406
2025-11-05,61.71598815917969
2025-11-06,61.49738311767578
2025-11-07,60.702457427978516
2025-11-10,60.41429901123047
2025-11-11,62.749393463134766
2025-11-12,63.792724609375
2025-11-13,65.61112213134766
2025-11-14,63.762916564941406
2025-11-17,62.5009765625
2025-11-18,62.09357833862305
2025-11-19,62.24262619018555
2025-11-20,61.04030227661133
2025-11-21,62.401611328125
2025-11-24,61.53712844848633
2025-11-25,63.27602767944336
2025-11-26,63.921905517578125
2025-11-28,64.22000122070312
2025-12-01,65.38999938964844
2025-12-02,64.93000030517578
2025-12-03,65.6500015258789
2025-12-04,65.69000244140625
2025-12-05,65.86000061035156
2025-12-08,63.540000915527344
2025-12-09,63.33000183105469
2025-12-10,65.79000091552734
2025-12-11,67.73999786376953
2025-12-12,67.47000122070312
2025-12-15,67.77999877929688
2025-12-16,67.12000274658203
2025-12-17,65.69000244140625
2025-12-18,65.62999725341797
2025-12-19,58.709999084472656
2025-12-22,57.220001220703125
2025-12-23,57.34000015258789
2025-12-24,60.0
2025-12-26,60.93000030517578
2025-12-29,61.209999084472656
2025-12-30,61.189998626708984
2025-12-31,63.709999084472656
