Date,LLY
2024-02-29,743.311279296875
2024-03-01,771.3599853515625
2024-03-04,781.3802490234375
2024-03-05,766.892333984375
2024-03-06,769.0424194335938
2024-03-07,769.427001953125
2024-03-08,751.6549682617188
2024-03-11,724.2669067382812
2024-03-12,744.5638427734375
2024-03-13,747.4140014648438
2024-03-14,750.2642822265625
2024-03-15,743.7944946289062
2024-03-18,752.1676635742188
2024-03-19,762.1486206054688
2024-03-20,762.2274169921875
2024-03-21,759.6631469726562
2024-03-22,760.00830078125
2024-03-25,762.5036010742188
2024-03-26,764.2393188476562
2024-03-27,767.4741821289062
2024-03-28,767.2572631835938
2024-04-01,750.0867309570312
2024-04-02,753.4498291015625
2024-04-03,765.3143310546875
2024-04-04,757.51318359375
2024-04-05,773.4213256835938
2024-04-08,766.5963745117188
2024-04-09,746.822265625
2024-04-10,751.4969482421875
2024-04-11,749.1400756835938
2024-04-12,741.2993774414062
2024-04-15,740.4413452148438
2024-04-16,736.4667358398438
2024-04-17,740.4413452148438
2024-04-18,735.6875610351562
2024-04-19,716.3178100585938
2024-04-22,721.2687377929688
2024-04-23,735.43115234375
2024-04-24,722.1268310546875
2024-04-25,714.8975219726562
2024-04-26,723.418701171875
2024-04-29,727.0579833984375
2024-04-30,770.35400390625
2024-05-01,766.0638427734375
2024-05-02,745.5106201171875
2024-05-03,724.8587036132812
2024-05-06,756.1324462890625
2024-05-07,767.0698852539062
2024-05-08,764.3380126953125
2024-05-09,760.9353637695312
2024-05-10,749.5443115234375
2024-05-13,747.2760009765625
2024-05-14,753.4696044921875
2024-05-15,777.515625
2024-05-16,761.8076171875
2024-05-17,760.701171875
2024-05-20,773.7221069335938
2024-05-21,793.4705810546875
2024-05-22,793.2136840820312
2024-05-23,798.686767578125
2024-05-24,797.6791381835938
2024-05-28,798.1039428710938
2024-05-29,801.7296752929688
2024-05-30,805.2169189453125
2024-05-31,810.4332885742188
2024-06-03,821.2213745117188
2024-06-04,822.5352783203125
2024-06-05,821.7153930664062
2024-06-06,827.1785888671875
2024-06-07,839.7251586914062
2024-06-10,854.5538940429688
2024-06-11,855.364013671875
2024-06-12,856.8261108398438
2024-06-13,872.66259765625
2024-06-14,867.8414306640625
2024-06-17,874.322265625
2024-06-18,880.6943969726562
2024-06-20,875.2904663085938
2024-06-21,873.2059326171875
2024-06-24,879.3606567382812
2024-06-25,893.6854858398438
2024-06-26,890.3759765625
2024-06-27,898.0619506835938
2024-06-28,894.4462280273438
2024-07-01,903.32763671875
2024-07-02,895.7601928710938
2024-07-03,887.2542114257812
2024-07-05,903.5253295898438
2024-07-08,906.9138793945312
2024-07-09,921.2388305664062
2024-07-10,928.430908203125
2024-07-11,922.85888671875
2024-07-12,936.94677734375
2024-07-15,938.9818725585938
2024-07-16,930.228759765625
2024-07-17,894.6537475585938
2024-07-18,838.6482543945312
2024-07-19,847.1148071289062
2024-07-22,855.5120849609375
2024-07-23,867.6834106445312
2024-07-24,849.4957275390625
2024-07-25,811.2730102539062
2024-07-26,794.9030151367188
2024-07-29,798.0347290039062
2024-07-30,780.6671752929688
2024-07-31,794.5572509765625
2024-08-01,822.3870849609375
2024-08-02,794.7450561523438
2024-08-05,765.8976440429688
2024-08-06,783.6011962890625
2024-08-07,762.8153686523438
2024-08-08,835.1016235351562
2024-08-09,880.9118041992188
2024-08-12,873.6998901367188
2024-08-13,897.0840454101562
2024-08-14,920.4285888671875
2024-08-15,921.6158447265625
2024-08-16,912.2569580078125
2024-08-19,911.9503173828125
2024-08-20,939.8090209960938
2024-08-21,941.7876586914062
2024-08-22,943.9642333984375
2024-08-23,942.5494384765625
2024-08-26,940.3630981445312
2024-08-27,944.2708129882812
2024-08-28,938.7901000976562
2024-08-29,930.1436157226562
2024-08-30,949.7516479492188
2024-09-03,946.2990112304688
2024-09-04,936.1883544921875
2024-09-05,902.9872436523438
2024-09-06,893.0546264648438
2024-09-09,898.5551147460938
2024-09-10,891.6102294921875
2024-09-11,911.0401000976562
2024-09-12,925.0189819335938
2024-09-13,913.830078125
2024-09-16,913.6617431640625
2024-09-17,896.4874877929688
2024-09-18,895.2904052734375
2024-09-19,905.2527465820312
2024-09-20,911.6336669921875
2024-09-23,908.695556640625
2024-09-24,914.5422973632812
2024-09-25,914.6708374023438
2024-09-26,899.593994140625
2024-09-27,868.4011840820312
2024-09-30,876.4639892578125
2024-10-01,875.0196533203125
2024-10-02,881.5391235351562
2024-10-03,876.078125
2024-10-04,877.6708984375
2024-10-07,888.7906494140625
2024-10-08,903.94677734375
2024-10-09,909.9024047851562
2024-10-10,900.9492797851562
2024-10-11,922.0906982421875
2024-10-14,919.5679931640625
2024-10-15,903.5511474609375
2024-10-16,906.617919921875
