Date,DHR
2025-01-17,236.87197875976562
2025-01-21,242.58609008789062
2025-01-22,242.6556396484375
2025-01-23,244.12640380859375
2025-01-24,244.2655487060547
2025-01-27,249.02561950683594
2025-01-28,246.2928009033203
2025-01-29,222.3332977294922
2025-01-30,221.6873779296875
2025-01-31,221.3494873046875
2025-02-03,212.9224395751953
2025-02-04,213.66775512695312
2025-02-05,210.8057403564453
2025-02-06,208.69895935058594
2025-02-07,205.46925354003906
2025-02-10,202.22959899902344
2025-02-11,200.36134338378906
2025-02-12,200.9178466796875
2025-02-13,202.3190460205078
2025-02-14,205.01214599609375
2025-02-18,203.253173828125
2025-02-19,203.7003631591797
2025-02-20,206.65182495117188
2025-02-21,208.9176025390625
2025-02-24,209.82191467285156
2025-02-25,209.0964813232422
2025-02-26,208.13253784179688
2025-02-27,204.4258270263672
2025-02-28,206.46302795410156
2025-03-03,204.40594482421875
2025-03-04,204.62457275390625
2025-03-05,209.2455291748047
2025-03-06,213.46900939941406
2025-03-07,210.74612426757812
2025-03-10,203.94879150390625
2025-03-11,204.326416015625
2025-03-12,203.6804962158203
2025-03-13,202.81591796875
2025-03-14,209.42440795898438
2025-03-17,211.27281188964844
2025-03-18,211.45166015625
2025-03-19,208.9473876953125
2025-03-20,208.9374542236328
2025-03-21,210.04054260253906
2025-03-24,211.4715576171875
2025-03-25,211.0740509033203
2025-03-26,209.0964813232422
2025-03-27,208.79833984375
2025-03-28,204.876953125
2025-03-31,204.03097534179688
2025-04-01,199.44277954101562
2025-04-02,204.1902313232422
2025-04-03,196.96453857421875
2025-04-04,180.91079711914062
2025-04-07,179.7662353515625
2025-04-08,173.81448364257812
2025-04-09,190.9829559326172
2025-04-10,179.9055633544922
2025-04-11,187.837890625
2025-04-14,192.05784606933594
2025-04-15,189.0222625732422
2025-04-16,189.75877380371094
2025-04-17,185.94686889648438
2025-04-21,184.08572387695312
2025-04-22,191.162109375
2025-04-23,195.38206481933594
2025-04-24,195.5711669921875
2025-04-25,196.2081298828125
2025-04-28,194.98394775390625
2025-04-29,197.9896697998047
2025-04-30,198.38778686523438
2025-05-01,195.78018188476562
2025-05-02,198.10910034179688
2025-05-05,196.46690368652344
2025-05-06,189.1516571044922
2025-05-07,192.1772918701172
2025-05-08,193.89910888671875
2025-05-09,188.83316040039062
2025-05-12,199.8806915283203
2025-05-13,195.68063354492188
2025-05-14,186.93218994140625
2025-05-15,190.04739379882812
2025-05-16,195.18299865722656
2025-05-19,195.48158264160156
2025-05-20,196.83517456054688
2025-05-21,185.92697143554688
2025-05-22,186.5937957763672
2025-05-23,183.66769409179688
2025-05-27,188.28575134277344
2025-05-28,188.1165771484375
2025-05-29,189.56968688964844
2025-05-30,189.00234985351562
2025-06-02,188.33554077148438
2025-06-03,191.1521453857422
2025-06-04,192.16732788085938
2025-06-05,191.24172973632812
2025-06-06,195.0934295654297
2025-06-09,198.25840759277344
2025-06-10,201.6622314453125
2025-06-11,203.7523193359375
2025-06-12,204.13052368164062
2025-06-13,199.72145080566406
2025-06-16,200.1593780517578
2025-06-17,194.82470703125
2025-06-18,193.52088928222656
2025-06-20,195.46168518066406
2025-06-23,195.4119110107422
2025-06-24,196.5365753173828
2025-06-25,200.0498809814453
2025-06-26,200.50770568847656
2025-06-27,198.17506408691406
2025-06-30,196.91903686523438
2025-07-01,200.4678497314453
2025-07-02,201.86343383789062
2025-07-03,202.56124877929688
2025-07-07,199.00247192382812
2025-07-08,200.0491485595703
2025-07-09,200.3282928466797
2025-07-10,204.8639678955078
2025-07-11,204.2060546875
2025-07-14,197.12838745117188
2025-07-15,192.25375366210938
2025-07-16,192.69236755371094
2025-07-17,194.17767333984375
2025-07-18,189.45257568359375
2025-07-21,187.47882080078125
2025-07-22,189.31301879882812
2025-07-23,197.26792907714844
2025-07-24,202.17247009277344
2025-07-25,204.8340606689453
2025-07-28,202.30206298828125
2025-07-29,206.19976806640625
2025-07-30,203.3487548828125
2025-07-31,196.5402374267578
2025-08-01,196.47044372558594
2025-08-04,196.83929443359375
2025-08-05,198.41432189941406
2025-08-06,194.5564727783203
2025-08-07,197.8660430908203
2025-08-08,199.92953491210938
2025-08-11,199.13204956054688
2025-08-12,205.0733184814453
2025-08-13,208.48257446289062
2025-08-14,209.55917358398438
2025-08-15,210.2669219970703
2025-08-18,208.35296630859375
2025-08-19,211.53294372558594
2025-08-20,210.73545837402344
2025-08-21,203.259033203125
2025-08-22,211.13421630859375
2025-08-25,207.07699584960938
2025-08-26,205.60165405273438
2025-08-27,204.3555908203125
2025-08-28,204.6446533203125
2025-08-29,205.17300415039062
2025-09-02,203.1493682861328
2025-09-03,198.8130645751953
2025-09-04,198.40435791015625
2025-09-05,199.58065795898438
2025-09-08,198.005615234375
2025-09-09,193.7191162109375
2025-09-10,191.98458862304688
2025-09-11,194.5465087890625
2025-09-12,189.45257568359375
2025-09-15,187.9473114013672
2025-09-16,189.8712615966797
2025-09-17,192.33349609375
2025-09-18,194.6561737060547
2025-09-19,192.68238830566406
2025-09-22,189.86129760742188
2025-09-23,189.1236114501953
2025-09-24,185.32559204101562
2025-09-25,180.88958740234375
2025-09-26,184.58445739746094
2025-09-29,185.8027801513672
2025-09-30,197.98590087890625
2025-10-01,212.58570861816406
2025-10-02,210.0392303466797
2025-10-03,214.6927947998047
2025-10-06,211.41732788085938
2025-10-07,208.48138427734375
2025-10-08,204.67665100097656
2025-10-09,204.1973114013672
2025-10-10,202.18011474609375
2025-10-13,204.8563995361328
2025-10-14,205.864990234375
2025-10-15,205.81507873535156
2025-10-16,210.62840270996094
2025-10-17,208.77098083496094
2025-10-20,208.10191345214844
2025-10-21,220.4647979736328
2025-10-22,217.79849243164062
2025-10-23,222.4220733642578
2025-10-24,222.70169067382812
2025-10-27,220.70445251464844
2025-10-28,216.6001434326172
2025-10-29,213.71412658691406
2025-10-30,214.75270080566406
2025-10-31,215.08224487304688
2025-11-03,213.76406860351562
2025-11-04,213.53439331054688
2025-11-05,211.9166259765625
2025-11-06,210.37875366210938
2025-11-07,209.64976501464844
2025-11-10,210.87806701660156
2025-11-11,215.49166870117188
2025-11-12,219.0966796875
2025-11-13,220.89419555664062
2025-11-14,220.90419006347656
2025-11-17,220.13525390625
2025-11-18,225.19822692871094
2025-11-19,222.10252380371094
2025-11-20,221.87283325195312
2025-11-21,227.0756378173828
2025-11-24,226.66619873046875
2025-11-25,230.4509735107422
2025-11-26,228.1441650390625
2025-11-28,226.4664764404297
2025-12-01,223.83013916015625
2025-12-02,226.27674865722656
2025-12-03,228.1441650390625
2025-12-04,226.81600952148438
2025-12-05,225.9372100830078
2025-12-08,224.16966247558594
2025-12-09,222.92138671875
2025-12-10,230.10145568847656
2025-12-11,232.0487518310547
2025-12-12,226.01710510253906
2025-12-15,228.2140655517578
2025-12-16,224.3893585205078
2025-12-17,222.3222198486328
2025-12-18,224.03985595703125
2025-12-19,224.52915954589844
2025-12-22,227.6947784423828
2025-12-23,230.51087951660156
2025-12-24,231.14999389648438
2025-12-26,230.32000732421875
2025-12-29,230.6300048828125
2025-12-30,230.6699981689453
2025-12-31,228.9199981689453
