Date,FDX
2024-06-05,238.64410400390625
2024-06-06,240.77993774414062
2024-06-07,238.33627319335938
2024-06-10,244.09912109375
2024-06-11,242.85801696777344
2024-06-12,239.1732635498047
2024-06-13,239.1732635498047
2024-06-14,237.08554077148438
2024-06-17,240.57789611816406
2024-06-18,238.68258666992188
2024-06-20,242.9446258544922
2024-06-21,244.04139709472656
2024-06-24,248.13327026367188
2024-06-25,248.00750732421875
2024-06-26,286.51739501953125
2024-06-27,285.8209228515625
2024-06-28,290.0481872558594
2024-07-01,288.92608642578125
2024-07-02,288.4811706542969
2024-07-03,284.1183776855469
2024-07-05,284.3989562988281
2024-07-08,285.87896728515625
2024-07-09,283.1704406738281
2024-07-10,283.69281005859375
2024-07-11,289.758056640625
2024-07-12,289.2550354003906
2024-07-15,295.05902099609375
2024-07-16,303.2814636230469
2024-07-17,300.2923889160156
2024-07-18,296.6068115234375
2024-07-19,296.30694580078125
2024-07-22,297.3903503417969
2024-07-23,290.9768371582031
2024-07-24,288.5391845703125
2024-07-25,288.83905029296875
2024-07-26,290.33843994140625
2024-07-29,289.45819091796875
2024-07-30,291.0542907714844
2024-07-31,292.3795166015625
2024-08-01,288.1038818359375
2024-08-02,282.75445556640625
2024-08-05,273.84521484375
2024-08-06,276.3990173339844
2024-08-07,269.0472106933594
2024-08-08,269.5212097167969
2024-08-09,268.3507080078125
2024-08-12,270.03387451171875
2024-08-13,273.85491943359375
2024-08-14,274.0773620605469
2024-08-15,274.899658203125
2024-08-16,276.0798034667969
2024-08-19,279.0011901855469
2024-08-20,279.0205078125
2024-08-21,281.99993896484375
2024-08-22,284.6697998046875
2024-08-23,287.4750671386719
2024-08-26,287.5331115722656
2024-08-27,285.2695617675781
2024-08-28,286.4594421386719
2024-08-29,286.5754699707031
2024-08-30,289.01318359375
2024-09-03,283.89593505859375
2024-09-04,283.27679443359375
2024-09-05,275.99273681640625
2024-09-06,273.796875
2024-09-09,275.3910827636719
2024-09-10,275.9257507324219
2024-09-11,276.90753173828125
2024-09-12,278.0157470703125
2024-09-13,278.38507080078125
2024-09-16,284.4606628417969
2024-09-17,289.03912353515625
2024-09-18,289.8459777832031
2024-09-19,292.0039978027344
2024-09-20,247.53118896484375
2024-09-23,251.5653533935547
2024-09-24,259.6725158691406
2024-09-25,256.4062805175781
2024-09-26,258.89483642578125
2024-09-27,260.0807800292969
2024-09-30,266.03961181640625
2024-10-01,262.03466796875
2024-10-02,259.4780578613281
2024-10-03,254.7634735107422
2024-10-04,253.55812072753906
