Date,TMUS
2024-10-18,217.94338989257812
2024-10-21,217.5137939453125
2024-10-22,213.84249877929688
2024-10-23,215.73672485351562
2024-10-24,228.04917907714844
2024-10-25,221.01907348632812
2024-10-28,222.43487548828125
2024-10-29,220.7163848876953
2024-10-30,217.5137939453125
2024-10-31,217.89459228515625
2024-11-01,218.01173400878906
2024-11-04,218.9588623046875
2024-11-05,221.75137329101562
2024-11-06,226.71151733398438
2024-11-07,226.02806091308594
2024-11-08,229.7578887939453
2024-11-11,232.69688415527344
2024-11-12,233.36085510253906
2024-11-13,235.19647216796875
2024-11-14,232.14031982421875
2024-11-15,230.05081176757812
2024-11-18,231.4373016357422
2024-11-19,227.6976776123047
2024-11-20,229.91412353515625
2024-11-21,230.9979248046875
2024-11-22,232.6578369140625
2024-11-25,234.27867126464844
2024-11-26,239.1411590576172
2024-11-27,241.25779724121094
2024-11-29,241.98294067382812
2024-12-02,239.90550231933594
2024-12-03,239.93487548828125
2024-12-04,238.200439453125
2024-12-05,239.0431671142578
2024-12-06,238.88638305664062
2024-12-09,224.26588439941406
2024-12-10,228.81272888183594
2024-12-11,229.63587951660156
2024-12-12,228.5873565673828
2024-12-13,227.2840576171875
2024-12-16,224.86361694335938
2024-12-17,216.2794952392578
2024-12-18,216.2598876953125
2024-12-19,213.62387084960938
2024-12-20,215.8875274658203
2024-12-23,217.21041870117188
2024-12-24,218.53329467773438
2024-12-26,219.18984985351562
2024-12-27,218.54312133789062
2024-12-30,216.23046875
2024-12-31,216.299072265625
2025-01-02,215.12315368652344
2025-01-03,214.71160888671875
2025-01-06,208.11669921875
2025-01-07,208.07748413085938
2025-01-08,211.19366455078125
2025-01-10,207.05836486816406
2025-01-13,209.17503356933594
2025-01-14,209.8805389404297
2025-01-15,209.90016174316406
2025-01-16,211.41903686523438
2025-01-17,214.57440185546875
2025-01-21,215.08399963378906
2025-01-22,213.80026245117188
2025-01-23,211.70323181152344
2025-01-24,214.18243408203125
2025-01-27,216.98501586914062
2025-01-28,216.70083618164062
2025-01-29,230.42959594726562
2025-01-30,229.665283203125
2025-01-31,228.2933807373047
2025-02-03,233.32040405273438
2025-02-04,232.4874725341797
2025-02-05,237.5634765625
2025-02-06,242.20831298828125
2025-02-07,241.2969970703125
2025-02-10,250.69447326660156
2025-02-11,253.5068817138672
2025-02-12,250.15553283691406
2025-02-13,259.7588195800781
2025-02-14,265.3835754394531
2025-02-18,257.92633056640625
2025-02-19,258.06353759765625
2025-02-20,260.0723876953125
2025-02-21,259.8470153808594
2025-02-24,262.7475891113281
2025-02-25,265.1092224121094
2025-02-26,258.2889099121094
2025-02-27,258.86712646484375
2025-02-28,265.1595153808594
2025-03-03,268.2467956542969
2025-03-04,260.2042541503906
2025-03-05,258.3262939453125
2025-03-06,258.5328063964844
2025-03-07,260.7843322753906
2025-03-10,262.15093994140625
2025-03-11,252.35829162597656
2025-03-12,251.3160858154297
2025-03-13,254.74745178222656
2025-03-14,251.6798553466797
2025-03-17,255.7994842529297
2025-03-18,256.35009765625
2025-03-19,254.89495849609375
2025-03-20,252.71221923828125
2025-03-21,251.54222106933594
2025-03-24,254.6097869873047
2025-03-25,254.40335083007812
2025-03-26,258.1001892089844
2025-03-27,263.77325439453125
2025-03-28,260.4794921875
2025-03-31,262.2296142578125
2025-04-01,264.02886962890625
2025-04-02,260.11572265625
2025-04-03,263.38983154296875
2025-04-04,243.94207763671875
2025-04-07,242.52626037597656
2025-04-08,242.1624755859375
2025-04-09,250.6179962158203
2025-04-10,251.81748962402344
2025-04-11,254.32469177246094
2025-04-14,258.22802734375
2025-04-15,262.2296142578125
2025-04-16,255.2783966064453
2025-04-17,257.6380920410156
2025-04-21,249.22186279296875
2025-04-22,253.96087646484375
2025-04-23,254.99325561523438
2025-04-24,257.77569580078125
2025-04-25,228.85977172851562
2025-04-28,232.79257202148438
2025-04-29,237.53160095214844
2025-04-30,242.8015594482422
2025-05-01,242.85073852539062
2025-05-02,244.6991424560547
2025-05-05,244.12887573242188
2025-05-06,249.53648376464844
2025-05-07,247.03915405273438
2025-05-08,243.33248901367188
2025-05-09,239.7143096923828
2025-05-12,236.28294372558594
2025-05-13,233.3529815673828
2025-05-14,231.33743286132812
2025-05-15,236.12562561035156
2025-05-16,238.5836181640625
2025-05-19,240.1469268798828
2025-05-20,237.15798950195312
2025-05-21,236.71554565429688
2025-05-22,236.77455139160156
2025-05-23,238.79994201660156
2025-05-27,239.27186584472656
2025-05-28,237.45294189453125
2025-05-29,235.2800750732422
2025-05-30,239.01028442382812
2025-06-02,239.85894775390625
2025-06-03,240.6681671142578
2025-06-04,238.77345275878906
2025-06-05,241.67471313476562
2025-06-06,242.62208557128906
2025-06-09,234.81625366210938
2025-06-10,233.85902404785156
2025-06-11,227.89857482910156
2025-06-12,225.68807983398438
2025-06-13,224.99728393554688
2025-06-16,227.9479217529297
2025-06-17,218.51380920410156
2025-06-18,218.07960510253906
2025-06-20,218.60263061523438
2025-06-23,223.99072265625
2025-06-24,226.7933349609375
2025-06-25,227.8590850830078
2025-06-26,228.3722686767578
2025-06-27,232.1518096923828
2025-06-30,235.12216186523438
2025-07-01,238.32936096191406
2025-07-02,234.29322814941406
2025-07-03,237.57937622070312
2025-07-07,234.50047302246094
2025-07-08,232.86233520507812
2025-07-09,229.25051879882812
2025-07-10,225.14529418945312
2025-07-11,224.76043701171875
2025-07-14,225.14529418945312
2025-07-15,223.0433807373047
2025-07-16,225.7275390625
2025-07-17,224.04005432128906
2025-07-18,224.21771240234375
2025-07-21,229.5564422607422
2025-07-22,230.1781463623047
2025-07-23,230.84918212890625
2025-07-24,244.24046325683594
2025-07-25,240.34251403808594
2025-07-28,235.05308532714844
2025-07-29,236.09913635253906
2025-07-30,238.3984375
2025-07-31,235.27020263671875
2025-08-01,234.0761260986328
2025-08-04,237.83595275878906
2025-08-05,235.78334045410156
2025-08-06,236.06951904296875
2025-08-07,239.7306671142578
2025-08-08,241.753662109375
2025-08-11,245.59242248535156
2025-08-12,248.95753479003906
2025-08-13,247.5364990234375
2025-08-14,247.0134735107422
2025-08-15,251.27658081054688
2025-08-18,251.8193359375
2025-08-19,254.8193359375
2025-08-20,255.59890747070312
2025-08-21,254.7600860595703
2025-08-22,248.6318817138672
2025-08-25,248.42465209960938
2025-08-26,247.89175415039062
2025-08-27,248.04965209960938
2025-08-28,247.2601776123047
2025-08-29,249.5478057861328
2025-09-02,253.4099884033203
2025-09-03,250.2113037109375
2025-09-04,249.67652893066406
2025-09-05,250.31033325195312
2025-09-08,240.54588317871094
2025-09-09,240.36764526367188
2025-09-10,238.05032348632812
2025-09-11,239.05052185058594
2025-09-12,239.3773193359375
2025-09-15,237.41651916503906
2025-09-16,235.3170623779297
2025-09-17,237.1293182373047
2025-09-18,236.51535034179688
2025-09-19,235.8617401123047
2025-09-22,235.13882446289062
2025-09-23,237.1689453125
2025-09-24,236.08950805664062
2025-09-25,235.63397216796875
2025-09-26,235.16851806640625
2025-09-29,235.65377807617188
2025-09-30,237.0600128173828
2025-10-01,230.99932861328125
2025-10-02,227.90956115722656
2025-10-03,228.03829956054688
2025-10-06,222.77976989746094
2025-10-07,225.47340393066406
2025-10-08,224.38406372070312
2025-10-09,224.0176544189453
2025-10-10,226.5726318359375
2025-10-13,222.8787841796875
2025-10-14,227.196533203125
2025-10-15,224.45338439941406
2025-10-16,224.25531005859375
2025-10-17,227.10740661621094
2025-10-20,227.86004638671875
2025-10-21,226.85983276367188
2025-10-22,225.19610595703125
2025-10-23,217.85792541503906
2025-10-24,215.65943908691406
2025-10-27,218.54124450683594
2025-10-28,217.85792541503906
2025-10-29,212.9261932373047
2025-10-30,208.6084442138672
2025-10-31,208.0142822265625
2025-11-03,201.34950256347656
2025-11-04,204.29071044921875
2025-11-05,202.7557373046875
2025-11-06,199.06187438964844
2025-11-07,204.9938201904297
2025-11-10,203.87477111816406
2025-11-11,209.92555236816406
2025-11-12,210.6187744140625
2025-11-13,212.49046325683594
2025-11-14,213.98582458496094
2025-11-17,213.74815368652344
2025-11-18,211.014892578125
2025-11-19,209.22244262695312
2025-11-20,208.4698028564453
2025-11-21,207.4497833251953
2025-11-24,205.3305206298828
2025-11-25,204.894775390625
2025-11-26,205.74072265625
2025-11-28,208.0098114013672
2025-12-01,205.64120483398438
2025-12-02,209.12445068359375
2025-12-03,207.51219177246094
2025-12-04,207.01458740234375
2025-12-05,208.62684631347656
2025-12-08,203.46168518066406
2025-12-09,200.386474609375
2025-12-10,194.3853302001953
2025-12-11,194.39527893066406
2025-12-12,194.22608947753906
2025-12-15,195.2213134765625
2025-12-16,197.05250549316406
2025-12-17,198.4259033203125
2025-12-18,199.3116455078125
2025-12-19,195.78857421875
2025-12-22,194.82321166992188
2025-12-23,196.7240753173828
2025-12-24,198.067626953125
2025-12-26,200.03814697265625
2025-12-29,202.17784118652344
2025-12-30,202.8247528076172
2025-12-31,202.06837463378906
