Date,CAT
2025-01-07,356.76513671875
2025-01-08,354.8682861328125
2025-01-10,344.97125244140625
2025-01-13,356.273681640625
2025-01-14,365.18792724609375
2025-01-15,368.450927734375
2025-01-16,374.0136413574219
2025-01-17,379.3897399902344
2025-01-21,392.95306396484375
2025-01-22,392.2132568359375
2025-01-23,400.88397216796875
2025-01-24,402.0972900390625
2025-01-27,389.6190185546875
2025-01-28,384.9926452636719
2025-01-29,387.89276123046875
2025-01-30,369.8904724121094
2025-01-31,366.39849853515625
2025-02-03,356.6427001953125
2025-02-04,357.03729248046875
2025-02-05,353.9793701171875
2025-02-06,360.4897766113281
2025-02-07,358.94110107421875
2025-02-10,358.2900695800781
2025-02-11,357.3134765625
2025-02-12,347.2618103027344
2025-02-13,348.8992919921875
2025-02-14,348.5244445800781
2025-02-18,349.1951904296875
2025-02-19,348.208740234375
2025-02-20,344.4110412597656
2025-02-21,335.4246826171875
2025-02-24,334.31988525390625
2025-02-25,337.7131652832031
2025-02-26,337.9302062988281
2025-02-27,335.38519287109375
2025-02-28,339.2816162109375
2025-03-03,327.53326416015625
2025-03-04,322.3150634765625
2025-03-05,333.89569091796875
2025-03-06,336.3815002441406
2025-03-07,345.54541015625
2025-03-10,340.52447509765625
2025-03-11,335.1583251953125
2025-03-12,333.54058837890625
2025-03-13,328.7860107421875
2025-03-14,335.0301208496094
2025-03-17,337.9893798828125
2025-03-18,332.139892578125
2025-03-19,334.02392578125
2025-03-20,331.6861267089844
2025-03-21,331.22247314453125
2025-03-24,337.0325622558594
2025-03-25,337.96966552734375
2025-03-26,336.4801330566406
2025-03-27,334.6947326660156
2025-03-28,325.21514892578125
2025-03-31,325.3236389160156
2025-04-01,326.0832214355469
2025-04-02,330.1177062988281
2025-04-03,301.6099548339844
2025-04-04,284.1698913574219
2025-04-07,276.2587890625
2025-04-08,270.22186279296875
2025-04-09,296.9244384765625
2025-04-10,285.23529052734375
2025-04-11,289.4670104980469
2025-04-14,294.0736389160156
2025-04-15,289.4472961425781
2025-04-16,286.2019958496094
2025-04-17,290.2561950683594
2025-04-21,282.2276306152344
2025-04-22,288.6009216308594
2025-04-23,293.1603088378906
2025-04-24,304.1524658203125
2025-04-25,303.7461242675781
2025-04-28,304.3507080078125
2025-04-29,304.68768310546875
2025-04-30,306.5411682128906
2025-05-01,311.1898498535156
2025-05-02,320.82403564453125
2025-05-05,320.25909423828125
2025-05-06,318.0586853027344
2025-05-07,317.4639892578125
2025-05-08,321.3890380859375
2025-05-09,322.7469482421875
2025-05-12,339.52752685546875
2025-05-13,349.4294128417969
2025-05-14,346.5748291015625
2025-05-15,346.7235107421875
2025-05-16,350.4602355957031
2025-05-19,349.45916748046875
2025-05-20,346.40631103515625
2025-05-21,339.4879150390625
2025-05-22,342.144287109375
2025-05-23,340.3601989746094
2025-05-27,348.40850830078125
2025-05-28,346.40631103515625
2025-05-29,348.68603515625
2025-05-30,344.959228515625
2025-06-02,341.6288757324219
2025-06-03,346.317138671875
2025-06-04,346.2477111816406
2025-06-05,345.8810119628906
2025-06-06,350.2322692871094
2025-06-09,354.91064453125
2025-06-10,355.4062194824219
2025-06-11,359.9359436035156
2025-06-12,357.7751159667969
2025-06-13,353.89959716796875
2025-06-16,359.2420654296875
2025-06-17,354.5240783691406
2025-06-18,356.6253662109375
2025-06-20,357.3390197753906
2025-06-23,362.9986572265625
2025-06-24,369.7287292480469
2025-06-25,368.3013916015625
2025-06-26,378.51055908203125
