Date,PG
2025-03-12,163.87289428710938
2025-03-13,164.08700561523438
2025-03-14,163.4835662841797
2025-03-17,165.2257537841797
2025-03-18,163.23052978515625
2025-03-19,164.0675506591797
2025-03-20,163.07479858398438
2025-03-21,162.23777770996094
2025-03-24,161.2255401611328
2025-03-25,158.5003204345703
2025-03-26,162.1306915283203
2025-03-27,164.20382690429688
2025-03-28,163.54196166992188
2025-03-31,165.86813354492188
2025-04-01,166.00439453125
2025-04-02,164.9727020263672
2025-04-03,167.7855224609375
2025-04-04,159.3762969970703
2025-04-07,155.95028686523438
2025-04-08,154.15945434570312
2025-04-09,157.98448181152344
2025-04-10,159.1913604736328
2025-04-11,162.45188903808594
2025-04-14,164.61260986328125
2025-04-15,163.97021484375
2025-04-16,161.94577026367188
2025-04-17,166.07254028320312
2025-04-21,162.3284454345703
2025-04-22,164.41448974609375
2025-04-23,162.30885314941406
2025-04-24,156.23684692382812
2025-04-25,157.69610595703125
2025-04-28,158.5089569091797
2025-04-29,158.91049194335938
2025-04-30,159.21409606933594
2025-05-01,156.6775665283203
2025-05-02,157.20640563964844
2025-05-05,155.5513153076172
2025-05-06,155.96263122558594
2025-05-07,156.00180053710938
2025-05-08,155.37501525878906
2025-05-09,154.40545654296875
2025-05-12,157.5785675048828
2025-05-13,155.453369140625
2025-05-14,154.7580108642578
2025-05-15,159.05740356445312
2025-05-16,159.90943908691406
2025-05-19,161.36868286132812
2025-05-20,162.22071838378906
2025-05-21,162.01504516601562
2025-05-22,161.62332153320312
2025-05-23,162.43617248535156
2025-05-27,164.29696655273438
2025-05-28,163.90521240234375
2025-05-29,165.0804443359375
2025-05-30,166.3829803466797
2025-06-02,164.31655883789062
2025-06-03,163.40574645996094
2025-06-04,162.52430725097656
2025-06-05,159.43934631347656
2025-06-06,160.6341552734375
2025-06-09,159.2042999267578
2025-06-10,159.478515625
2025-06-11,158.7635955810547
2025-06-12,159.8114776611328
2025-06-13,156.9713592529297
2025-06-16,157.55899047851562
2025-06-17,155.24771118164062
2025-06-18,154.7580108642578
2025-06-20,155.796142578125
2025-06-23,157.70587158203125
2025-06-24,157.0497283935547
2025-06-25,155.6884002685547
2025-06-26,155.3554229736328
2025-06-27,156.56002807617188
2025-06-30,156.03118896484375
2025-07-01,157.8919677734375
2025-07-02,157.87237548828125
2025-07-03,157.510009765625
2025-07-07,157.1868133544922
2025-07-08,154.63070678710938
2025-07-09,154.2683563232422
