Date,GE
2024-09-25,187.6730499267578
2024-09-26,183.2455596923828
2024-09-27,184.02981567382812
2024-09-30,187.2064971923828
2024-10-01,184.94309997558594
2024-10-02,185.0820770263672
2024-10-03,182.55064392089844
2024-10-04,185.71742248535156
2024-10-07,184.60557556152344
2024-10-08,186.10458374023438
2024-10-09,187.90138244628906
2024-10-10,186.7498321533203
2024-10-11,189.76771545410156
2024-10-14,191.2270050048828
2024-10-15,189.1820068359375
2024-10-16,190.78025817871094
2024-10-17,191.21707153320312
2024-10-18,191.20713806152344
2024-10-21,192.81533813476562
2024-10-22,175.37330627441406
2024-10-23,180.36668395996094
2024-10-24,178.43087768554688
2024-10-25,177.7955322265625
2024-10-28,174.08277893066406
2024-10-29,172.78231811523438
2024-10-30,173.36801147460938
2024-10-31,170.52883911132812
2024-11-01,170.44944763183594
2024-11-04,170.5089874267578
2024-11-05,173.98350524902344
2024-11-06,179.4434356689453
2024-11-07,177.54737854003906
2024-11-08,183.4639434814453
2024-11-11,183.2157745361328
2024-11-12,181.3097381591797
2024-11-13,182.22305297851562
2024-11-14,177.1006317138672
2024-11-15,175.64134216308594
2024-11-18,176.22705078125
2024-11-19,176.2667694091797
2024-11-20,176.68370056152344
2024-11-21,177.39845275878906
2024-11-22,179.83059692382812
2024-11-25,178.8974609375
2024-11-26,183.2554931640625
2024-11-27,179.2846221923828
2024-11-29,180.833251953125
2024-12-02,179.12579345703125
2024-12-03,179.40374755859375
2024-12-04,181.31967163085938
2024-12-05,171.650634765625
2024-12-06,174.30117797851562
2024-12-09,170.07220458984375
2024-12-10,170.02256774902344
2024-12-11,167.41172790527344
2024-12-12,163.62948608398438
2024-12-13,164.8008575439453
2024-12-16,164.5824737548828
2024-12-17,164.59242248535156
2024-12-18,158.78501892089844
2024-12-19,163.5996856689453
2024-12-20,167.14369201660156
2024-12-23,167.78897094726562
2024-12-24,170.240966796875
2024-12-26,170.89614868164062
2024-12-27,169.11630249023438
2024-12-30,167.14752197265625
2024-12-31,165.8449249267578
2025-01-02,167.63473510742188
2025-01-03,170.98565673828125
2025-01-06,171.47288513183594
2025-01-07,171.3336639404297
2025-01-08,171.91038513183594
2025-01-10,170.71717834472656
2025-01-13,170.59788513183594
2025-01-14,175.85789489746094
2025-01-15,179.26844787597656
2025-01-16,178.7215576171875
2025-01-17,181.81396484375
2025-01-21,186.43759155273438
2025-01-22,187.292724609375
2025-01-23,199.6622314453125
2025-01-24,195.63519287109375
2025-01-27,193.35816955566406
2025-01-28,193.32833862304688
2025-01-29,197.9718780517578
2025-01-30,204.4052276611328
2025-01-31,202.4165496826172
2025-02-03,202.95347595214844
2025-02-04,201.03440856933594
2025-02-05,203.4208221435547
2025-02-06,204.89244079589844
2025-02-07,204.1168670654297
2025-02-10,204.05718994140625
2025-02-11,207.63681030273438
2025-02-12,208.45216369628906
2025-02-13,207.17938232421875
2025-02-14,207.0899200439453
2025-02-18,208.88966369628906
2025-02-19,209.3072967529297
2025-02-20,207.5572509765625
2025-02-21,198.69773864746094
2025-02-24,197.5841064453125
2025-02-25,198.1409149169922
2025-02-26,200.46766662597656
2025-02-27,200.28866577148438
2025-02-28,205.80722045898438
2025-03-03,200.815673828125
2025-03-04,197.64373779296875
2025-03-05,201.35260009765625
2025-03-06,194.93914794921875
2025-03-07,192.7516326904297
2025-03-10,191.3868408203125
2025-03-11,190.98837280273438
2025-03-12,194.255859375
2025-03-13,191.68569946289062
2025-03-14,196.35780334472656
2025-03-17,201.259033203125
2025-03-18,200.02374267578125
2025-03-19,204.7855224609375
2025-03-20,203.15176391601562
2025-03-21,203.35101318359375
2025-03-24,209.42771911621094
2025-03-25,211.32049560546875
2025-03-26,206.5786590576172
2025-03-27,205.09432983398438
2025-03-28,199.1172332763672
2025-03-31,199.38619995117188
2025-04-01,203.01231384277344
2025-04-02,199.00767517089844
2025-04-03,186.91397094726562
2025-04-04,166.17343139648438
2025-04-07,167.06002807617188
2025-04-08,168.72364807128906
2025-04-09,186.55535888671875
2025-04-10,180.8173370361328
2025-04-11,180.9767303466797
2025-04-14,185.29019165039062
2025-04-15,184.96145629882812
2025-04-16,181.7537384033203
2025-04-17,181.0962677001953
2025-04-21,177.66940307617188
2025-04-22,188.4580535888672
2025-04-23,192.94088745117188
2025-04-24,196.6566619873047
2025-04-25,197.67276000976562
2025-04-28,200.09349060058594
2025-04-29,199.73487854003906
2025-04-30,200.77090454101562
2025-05-01,202.83299255371094
2025-05-02,206.9073944091797
2025-05-05,208.1426544189453
2025-05-06,207.80397033691406
2025-05-07,209.11892700195312
2025-05-08,213.67149353027344
2025-05-09,214.1396942138672
2025-05-12,218.11447143554688
2025-05-13,220.73443603515625
2025-05-14,222.3881072998047
2025-05-15,228.50466918945312
2025-05-16,230.89549255371094
2025-05-19,234.39208984375
2025-05-20,234.3622283935547
2025-05-21,232.64877319335938
2025-05-22,229.39126586914062
2025-05-23,231.9016571044922
2025-05-27,240.8573455810547
2025-05-28,242.74012756347656
2025-05-29,243.22825622558594
2025-05-30,244.97157287597656
2025-06-02,246.53558349609375
2025-06-03,247.9202880859375
2025-06-04,249.92262268066406
2025-06-05,250.95863342285156
2025-06-06,254.6544952392578
2025-06-09,250.45059204101562
2025-06-10,241.0764923095703
2025-06-11,244.58306884765625
2025-06-12,239.0741729736328
2025-06-13,235.69711303710938
2025-06-16,235.63734436035156
2025-06-17,234.85035705566406
2025-06-18,234.9898223876953
2025-06-20,238.45652770996094
2025-06-23,246.8643341064453
2025-06-24,247.80075073242188
2025-06-25,248.94635009765625
2025-06-26,250.04214477539062
2025-06-27,253.53875732421875
2025-06-30,256.40777587890625
2025-07-01,248.06971740722656
2025-07-02,243.81600952148438
2025-07-03,245.93789672851562
2025-07-07,248.06285095214844
2025-07-08,246.4666290283203
2025-07-09,249.73887634277344
2025-07-10,251.97360229492188
2025-07-11,254.81686401367188
2025-07-14,261.72052001953125
2025-07-15,264.0450439453125
2025-07-16,265.55145263671875
2025-07-17,259.6653747558594
2025-07-18,262.6483154296875
