Date,AMGN
2024-12-13,260.28533935546875
2024-12-16,256.32269287109375
2024-12-17,255.7937469482422
2024-12-18,248.8975067138672
2024-12-19,251.2154998779297
2024-12-20,253.3218231201172
2024-12-23,253.91819763183594
2024-12-24,254.38946533203125
2024-12-26,253.12950134277344
2024-12-27,252.6197052001953
2024-12-30,249.39764404296875
2024-12-31,250.6865234375
2025-01-02,249.37841796875
2025-01-03,251.24435424804688
2025-01-06,248.7147674560547
2025-01-07,252.05224609375
2025-01-08,254.12014770507812
2025-01-10,252.21575927734375
2025-01-13,259.8717956542969
2025-01-14,256.8998107910156
2025-01-15,258.6695251464844
2025-01-16,259.14080810546875
2025-01-17,261.7184753417969
2025-01-21,264.31536865234375
2025-01-22,262.9977111816406
2025-01-23,267.2681579589844
2025-01-24,264.902099609375
2025-01-27,272.14447021484375
2025-01-28,269.5956726074219
2025-01-29,270.9230041503906
2025-01-30,273.1736145019531
2025-01-31,274.5201721191406
2025-02-03,277.8384094238281
2025-02-04,277.9826965332031
2025-02-05,296.0551452636719
2025-02-06,286.4081726074219
2025-02-07,282.3300476074219
2025-02-10,283.5323791503906
2025-02-11,285.3309631347656
2025-02-12,283.7919921875
2025-02-13,285.6290588378906
2025-02-14,282.303466796875
2025-02-18,283.8935241699219
2025-02-19,285.31878662109375
2025-02-20,288.86749267578125
2025-02-21,293.79296875
2025-02-24,300.2988586425781
2025-02-25,306.0290832519531
2025-02-26,297.0604553222656
2025-02-27,296.5174865722656
2025-02-28,298.6893310546875
2025-03-03,301.3266296386719
2025-03-04,302.6937255859375
2025-03-05,306.9405212402344
2025-03-06,308.1524963378906
2025-03-07,314.9783020019531
2025-03-10,317.40228271484375
2025-03-11,309.18994140625
2025-03-12,302.99432373046875
2025-03-13,303.1300354003906
2025-03-14,304.16748046875
2025-03-17,307.52227783203125
2025-03-18,308.95721435546875
2025-03-19,306.14544677734375
2025-03-20,305.45703125
2025-03-21,306.4266052246094
2025-03-24,304.8171081542969
2025-03-25,297.52581787109375
2025-03-26,296.41082763671875
2025-03-27,296.468994140625
2025-03-28,297.6131286621094
2025-03-31,302.0732116699219
2025-04-01,297.5840759277344
2025-04-02,296.4011535644531
2025-04-03,300.4248962402344
2025-04-04,285.4351806640625
2025-04-07,280.8781433105469
2025-04-08,271.7350158691406
2025-04-09,282.23553466796875
2025-04-10,272.8500061035156
2025-04-11,277.281005859375
2025-04-14,284.9794921875
2025-04-15,286.3174743652344
2025-04-16,274.0426025390625
2025-04-17,268.8553161621094
2025-04-21,265.3551330566406
2025-04-22,269.9315185546875
2025-04-23,269.44677734375
2025-04-24,271.3277587890625
2025-04-25,272.2973327636719
2025-04-28,274.4788818359375
2025-04-29,279.78253173828125
2025-04-30,282.07073974609375
2025-05-01,275.14794921875
2025-05-02,272.665771484375
2025-05-05,271.54107666015625
2025-05-06,262.21368408203125
2025-05-07,267.44940185546875
2025-05-08,263.77471923828125
2025-05-09,257.7729797363281
2025-05-12,266.40228271484375
2025-05-13,262.2234191894531
2025-05-14,254.3019256591797
2025-05-15,263.4256591796875
2025-05-16,266.45794677734375
2025-05-19,269.82275390625
2025-05-20,269.0011291503906
2025-05-21,265.41131591796875
2025-05-22,265.9590759277344
2025-05-23,265.7243347167969
2025-05-27,273.3440856933594
2025-05-28,272.3170166015625
2025-05-29,277.3447570800781
2025-05-30,281.88336181640625
2025-06-02,282.1670227050781
2025-06-03,283.24298095703125
2025-06-04,280.7389221191406
2025-06-05,280.8269348144531
2025-06-06,283.9863586425781
2025-06-09,283.64404296875
2025-06-10,287.0186462402344
2025-06-11,285.4340515136719
2025-06-12,290.7943115234375
2025-06-13,288.76953125
2025-06-16,289.1021423339844
2025-06-17,283.7124938964844
2025-06-18,283.3016662597656
2025-06-20,283.0082092285156
2025-06-23,266.4872741699219
2025-06-24,271.4269104003906
2025-06-25,274.22442626953125
2025-06-26,273.01153564453125
2025-06-27,271.0747985839844
2025-06-30,273.1093444824219
2025-07-01,284.1722106933594
2025-07-02,290.3639221191406
2025-07-03,291.7235412597656
2025-07-07,286.54913330078125
2025-07-08,290.5106506347656
2025-07-09,290.0411376953125
2025-07-10,293.8070068359375
2025-07-11,288.8184509277344
2025-07-14,290.53997802734375
2025-07-15,286.1187744140625
2025-07-16,292.4864807128906
2025-07-17,291.73333740234375
2025-07-18,288.3196105957031
2025-07-21,289.40533447265625
2025-07-22,299.0107727050781
2025-07-23,302.4636535644531
2025-07-24,301.8082580566406
2025-07-25,299.8813171386719
2025-07-28,294.7069091796875
2025-07-29,296.92730712890625
2025-07-30,294.78515625
2025-07-31,288.65216064453125
2025-08-01,290.3932800292969
2025-08-04,295.34271240234375
2025-08-05,293.5233154296875
2025-08-06,278.4500427246094
2025-08-07,278.4794006347656
2025-08-08,281.9322509765625
2025-08-11,278.8608703613281
2025-08-12,278.7532958984375
2025-08-13,283.0082092285156
2025-08-14,283.947265625
2025-08-15,289.9922180175781
2025-08-18,286.226318359375
2025-08-19,289.0923156738281
2025-08-20,289.9726867675781
2025-08-21,289.2977600097656
2025-08-22,289.63299560546875
2025-08-25,284.4560546875
2025-08-26,285.55059814453125
2025-08-27,283.9630126953125
2025-08-28,281.6358337402344
2025-08-29,283.7066345214844
2025-09-02,282.9276428222656
2025-09-03,279.90032958984375
2025-09-04,276.2025451660156
2025-09-05,279.6932678222656
2025-09-08,276.291259765625
2025-09-09,276.0743408203125
2025-09-10,274.6346435546875
2025-09-11,278.79595947265625
2025-09-12,272.5441589355469
2025-09-15,270.5818176269531
2025-09-16,269.28021240234375
2025-09-17,270.88751220703125
2025-09-18,271.9919128417969
2025-09-19,281.4386291503906
2025-09-22,282.0204162597656
2025-09-23,282.81915283203125
2025-09-24,275.3347473144531
2025-09-25,267.4066162109375
2025-09-26,269.1816101074219
2025-09-29,270.1578063964844
2025-09-30,278.2733154296875
2025-10-01,294.34649658203125
2025-10-02,293.2618103027344
2025-10-03,293.7449951171875
2025-10-06,290.0274353027344
2025-10-07,291.42767333984375
2025-10-08,290.52044677734375
2025-10-09,291.3192138671875
2025-10-10,286.09295654296875
2025-10-13,288.33135986328125
2025-10-14,289.7611999511719
2025-10-15,293.18292236328125
2025-10-16,291.69390869140625
2025-10-17,294.6521911621094
2025-10-20,299.1092529296875
2025-10-21,296.94976806640625
2025-10-22,291.861572265625
2025-10-23,288.8145751953125
2025-10-24,287.70025634765625
2025-10-27,287.108642578125
2025-10-28,288.0256652832031
2025-10-29,287.7101135253906
2025-10-30,287.9369201660156
2025-10-31,294.2774353027344
2025-11-03,292.1770935058594
2025-11-04,292.571533203125
2025-11-05,315.4092712402344
2025-11-06,311.1986999511719
2025-11-07,315.7445373535156
2025-11-10,319.1564025878906
2025-11-11,333.7406005859375
2025-11-12,331.60076904296875
2025-11-13,331.32470703125
2025-11-14,332.05438232421875
2025-11-17,336.9552307128906
2025-11-18,339.2034912109375
2025-11-19,337.6356201171875
2025-11-20,331.39373779296875
2025-11-21,335.21722412109375
2025-11-24,331.99951171875
2025-11-25,338.76263427734375
2025-11-26,342.1988525390625
2025-11-28,343.08270263671875
2025-12-01,335.1675720214844
2025-12-02,336.03155517578125
2025-12-03,343.0429992675781
2025-12-04,337.8192138671875
2025-12-05,327.619873046875
2025-12-08,319.01947021484375
2025-12-09,311.69024658203125
2025-12-10,313.209716796875
2025-12-11,315.1959533691406
2025-12-12,315.553466796875
2025-12-15,323.0713806152344
2025-12-16,324.4915466308594
2025-12-17,323.7665710449219
2025-12-18,322.1875305175781
2025-12-19,325.12713623046875
2025-12-22,329.10955810546875
2025-12-23,329.2088623046875
2025-12-24,331.661865234375
2025-12-26,330.6389465332031
2025-12-29,327.3616638183594
2025-12-30,326.4281311035156
2025-12-31,325.0576171875
