Date,COST
2025-07-15,963.6595458984375
2025-07-16,947.4172973632812
2025-07-17,949.9466552734375
2025-07-18,946.9990234375
2025-07-21,943.6231079101562
2025-07-22,937.6978149414062
2025-07-23,937.2796020507812
2025-07-24,929.9202880859375
2025-07-25,931.59326171875
2025-07-28,930.1094360351562
2025-07-29,930.6870727539062
2025-07-30,923.6564331054688
2025-07-31,935.7360229492188
2025-08-01,949.876708984375
2025-08-04,952.71875
2025-08-05,941.0112915039062
2025-08-06,965.8721313476562
2025-08-07,974.7374267578125
2025-08-08,978.2576904296875
2025-08-11,985.99609375
2025-08-12,988.4991455078125
2025-08-13,976.133544921875
2025-08-14,972.6831665039062
2025-08-15,969.3424682617188
2025-08-18,976.6321411132812
2025-08-19,978.1279907226562
2025-08-20,991.8099365234375
2025-08-21,966.989013671875
2025-08-22,955.8798828125
2025-08-25,938.967041015625
2025-08-26,938.7276611328125
2025-08-27,946.885009765625
2025-08-28,942.337646484375
2025-08-29,940.7021484375
2025-09-02,936.2147216796875
2025-09-03,947.144287109375
2025-09-04,953.2472534179688
2025-09-05,960.8062133789062
2025-09-08,969.1529541015625
2025-09-09,976.532470703125
2025-09-10,953.6361694335938
2025-09-11,961.6438598632812
2025-09-12,965.2140502929688
2025-09-15,957.4356079101562
2025-09-16,949.4279174804688
2025-09-17,960.3574829101562
2025-09-18,949.717041015625
2025-09-19,948.5203857421875
2025-09-22,940.6423950195312
2025-09-23,940.9813842773438
2025-09-24,942.6467895507812
2025-09-25,940.6921997070312
2025-09-26,913.4081420898438
2025-09-29,914.3256225585938
2025-09-30,923.061279296875
2025-10-01,914.7943115234375
2025-10-02,914.2258911132812
2025-10-03,912.8397216796875
2025-10-06,908.4120483398438
2025-10-07,912.2613525390625
2025-10-08,912.2613525390625
2025-10-09,940.2733764648438
2025-10-10,927.4291381835938
2025-10-13,932.9636840820312
2025-10-14,943.8833618164062
2025-10-15,952.3397827148438
2025-10-16,923.05126953125
2025-10-17,933.7315673828125
2025-10-20,933.5121459960938
2025-10-21,934.8983154296875
2025-10-22,942.0584106445312
2025-10-23,939.4357299804688
2025-10-24,929.55322265625
2025-10-27,927.26953125
2025-10-28,921.5953369140625
2025-10-29,909.887939453125
2025-10-30,917.6264038085938
2025-10-31,910.20654296875
2025-11-03,926.7738647460938
2025-11-04,939.45654296875
2025-11-05,933.75439453125
2025-11-06,922.3200073242188
2025-11-07,921.4810791015625
2025-11-10,914.3109130859375
2025-11-11,912.6132202148438
2025-11-12,912.7530517578125
2025-11-13,923.8179321289062
2025-11-14,921.7207641601562
2025-11-17,911.344970703125
2025-11-18,893.85888671875
2025-11-19,889.3849487304688
2025-11-20,892.0712890625
2025-11-21,897.7835083007812
2025-11-24,884.9110717773438
2025-11-25,893.10986328125
2025-11-26,907.0208740234375
2025-11-28,912.3436279296875
2025-12-01,910.7158203125
2025-12-02,920.7720947265625
2025-12-03,921.0017700195312
2025-12-04,894.6377563476562
2025-12-05,893.4594116210938
2025-12-08,886.3092041015625
2025-12-09,887.2279052734375
2025-12-10,873.217041015625
2025-12-11,883.2733154296875
2025-12-12,883.2633056640625
2025-12-15,859.3859252929688
2025-12-16,859.2161865234375
2025-12-17,861.47314453125
2025-12-18,856.4200439453125
2025-12-19,854.4526977539062
2025-12-22,848.84033203125
2025-12-23,853.623779296875
2025-12-24,870.6705322265625
2025-12-26,872.158447265625
2025-12-29,866.6560668945312
2025-12-30,864.4690551757812
2025-12-31,861.16357421875
