Date,MSFT
2024-08-16,413.6317138671875
2024-08-19,416.65631103515625
2024-08-20,419.88848876953125
2024-08-21,419.23614501953125
2024-08-22,410.7454528808594
2024-08-23,411.97113037109375
2024-08-26,408.70928955078125
2024-08-27,409.05523681640625
2024-08-28,405.8526916503906
2024-08-29,408.34356689453125
2024-08-30,412.317138671875
2024-09-03,404.70611572265625
2024-09-04,404.17236328125
2024-09-05,403.6682434082031
2024-09-06,397.05560302734375
2024-09-09,401.0291442871094
2024-09-10,409.4111022949219
2024-09-11,418.14886474609375
2024-09-12,422.06304931640625
2024-09-13,425.611572265625
2024-09-16,426.3529052734375
2024-09-17,430.11883544921875
2024-09-18,425.8290100097656
2024-09-19,433.6179504394531
2024-09-20,430.2374572753906
2024-09-23,428.497802734375
2024-09-24,424.2080383300781
2024-09-25,427.1139831542969
2024-09-26,426.3232421875
2024-09-27,423.0712585449219
2024-09-30,425.3249206542969
2024-10-01,415.8260498046875
2024-10-02,412.30718994140625
2024-10-03,411.7240295410156
2024-10-04,411.24957275390625
2024-10-07,404.80499267578125
2024-10-08,409.9151611328125
2024-10-09,412.63336181640625
2024-10-10,411.0321044921875
2024-10-11,411.5066223144531
2024-10-14,414.29400634765625
2024-10-15,413.8985595703125
2024-10-16,411.3088684082031
2024-10-17,411.9019470214844
2024-10-18,413.3253173828125
2024-10-21,413.9380798339844
2024-10-22,422.56719970703125
2024-10-23,419.6908264160156
2024-10-24,419.8193664550781
2024-10-25,423.19976806640625
2024-10-28,421.6578369140625
2024-10-29,426.9558410644531
2024-10-30,427.5291442871094
2024-10-31,401.65185546875
2024-11-01,405.6253662109375
2024-11-04,403.7374572753906
2024-11-05,406.7027282714844
2024-11-06,415.32196044921875
2024-11-07,420.51123046875
2024-11-08,417.6546325683594
2024-11-11,413.1770324707031
2024-11-12,418.1390075683594
2024-11-13,420.283935546875
2024-11-14,421.9543762207031
2024-11-15,410.20184326171875
2024-11-18,410.9530334472656
2024-11-19,412.9595947265625
2024-11-20,410.6861267089844
2024-11-21,408.913330078125
2024-11-22,413.00372314453125
2024-11-25,414.776611328125
2024-11-26,423.8883972167969
2024-11-27,418.93634033203125
2024-11-29,419.4018249511719
2024-12-02,426.84979248046875
2024-12-03,427.0676574707031
2024-12-04,433.22802734375
2024-12-05,438.3782043457031
2024-12-06,439.3191223144531
2024-12-09,441.74560546875
2024-12-10,439.0814208984375
2024-12-11,444.68719482421875
2024-12-12,445.251708984375
2024-12-13,442.9836730957031
2024-12-16,447.26226806640625
2024-12-17,450.1047058105469
2024-12-18,433.19830322265625
2024-12-19,432.841796875
2024-12-20,432.4158935546875
2024-12-23,431.078857421875
2024-12-24,435.11968994140625
2024-12-26,433.9114074707031
2024-12-27,426.4040832519531
2024-12-30,420.7586975097656
2024-12-31,417.46063232421875
2025-01-02,414.568603515625
2025-01-03,419.29290771484375
2025-01-06,423.74981689453125
2025-01-07,418.3222961425781
2025-01-08,420.49127197265625
2025-01-10,414.93505859375
2025-01-13,413.1919250488281
